No Sail no,,,,,,,,,,,,,,Scores
DEN 9062,Jorgen Bojsen-Møller,Jacob Bojsen-Møller,,22,7,1,1,2,1,7,3,6,28,1
GER 9112,Morten Bogacki,Lars Derschotte Dehne,,3,20,6,5,5,9,1,8,5,42,2
GER 9102,Meike Schomäker,Holger Jess,,2,8,2,2,11,3,9,5,15,42,3
GBR 9094,Ian Pinnell,Dave Shelton,,46,9,15,7,13,2,3,1,10,60,4
FRA 9075,Philippe Boite,Erwan Grossmann,,10,10,3,9,47,10,6,15,11,74,5
GER 8927,Ulf Pleßmann,Hans-Heirich Rix,,5,4,7,8,16,27,16,7,19,82,6
GER 8806,Lutz Stengel,Frank Feller,,15,1,8,10,3,30,13,dnf,9,89,7
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,,19,21,11,3,14,16,5,25,7,96,8
GER 9070,Stefan Koechlin,Andreas Achterberg,,26,32,9,15,1,6,dnf,6,4,99,9
GER 9035,Stefan Böhm,Gerald Roos,,23,45,5,6,9,5,4,dnf,8,105,10
DEN 8958,Nikolaj Hoffmann Buhl,Henrik Buhl,,4,25,12,12,8,dnf,14,18,12,105,11
SUI 8954,Jean-Marc Monnard,Philippe Jacot,,34,14,31,40,10,7,10,4,3,113,12
GER 9090,Christian Kellner,Martin Schöler,,40,40,19,23,4,17,2,11,1,117,13
GBR 9063,Jim Hunt,Norman Byrd,,32,2,18,13,17,26,18,12,17,123,14
GER 8875,Jens Findel,Johannes Tellen,,11,38,43,51,6,4,8,13,2,125,15
FRA 9076,Bertrand Loyal,Nikos Desjamonieres,,35,11,13,4,27,12,dnf,10,16,128,16
GER 9100,Hendrik Schultz,Ute Oberländer,,18,6,17,11,15,15,12,dnf,43,137,17
GBR 8963,Martin Hodgson,Adrian Miles,,13,17,21,22,18,8,26,14,28,139,18
GER 8988,Jens Olbrysch,Oliver Thies,,9,12,24,14,33,14,29,19,34,154,19
GBR 9006,Vincent Horey,Christian Diebitsch,,50,30,14,57,12,24,17,2,14,163,20
