Country,Boat NO,Helm,Crew,Club,Toulon,CAMPIONE,WALCHENSEE,NEUCHATEL,TOTAL,FINAL,Place
FIN,9069,Jari Hamström,Tuomas Laurila,,7,1,,,8,1,1
GER,8988,Jens Olbrysch,Oliver Thies,,11,6,,,17,6,2
ITA,8916,Enrico Ciferri,Gabriele Natali,,17,2,,,19,2,3
SUI,9060,Catherine Houriet,Giles Donzé,,25,4,,,29,4,4
GER,9102,Meike Schomäker,Holger Jess,,1,49,,,50,1,5
FRA,9075,Philippe Boite,Erwan Grossmann,,2,49,,,51,2,6
GER,8975,Alexander Holzapfel,Stefan Worm,,3,49,,,52,3,7
RSA,8486,Thomas Funke,,,49,3,,,52,3,8
FRA,8904,Nicolas Martin,Julien Lafortune,,4,49,,,53,4,9
FRA,9076,Bertrand Loyal,Nicolas des Jamonières,,5,49,,,54,5,10
GER,9059,Moritz Bohnenberger,,,49,5,,,54,5,11
DEN,8440,Mikkel Christiansen,Mads Christiansen,,6,49,,,55,6,12
RSA,8719,Alexander Ham,,,49,7,,,56,7,13
GER,9020,Tim Böger,Markus Schöner,,8,49,,,57,8,14
SUI,8961,Toni Utiger,Markus Heilig,,49,8,,,57,8,15
SUI,9096,Cédric Bart,Laurent Grob,,9,49,,,58,9,16
AUT,8921,Martin Schmidt,Michael Mayrhofer,,49,9,,,58,9,17
GER,9054,Morten Bogacki,Lars Derschotte Dehne,,10,49,,,59,10,18
GER,9090,Christian Kellner,Andréas Achterberg,,12,49,,,61,12,19
SUI,8569,René Betschen,Lionel Hollinger,,13,49,,,62,13,20
GER,8901,Frieder Achterberg,Wolfgang Stückl,,14,49,,,63,14,21
FRA,9056,Alain Tosello,Yves Niddam,,15,49,,,64,15,22
SUI,8954,Caroline Jacot,Philippe Jacot,,16,49,,,65,16,23
FRA,8909,Francis Doerenbecher,Philippe Wolff,,18,49,,,67,18,24
FRA,9024,Claude Gachet,Kleber Valery,,19,49,,,68,19,25
SUI,8614,Florian Stauffer,Valéry Jacot,,20,49,,,69,20,26
SUI,8613,Marti Ueli,Res Schürch,,21,49,,,70,21,27
FRA,8847,Muriel Jeanne,Franck Agrapart,,22,49,,,71,22,28
FRA,8900,Serge Gubri,Geraud Lafortune,,23,49,,,72,23,29
GER,9101,Sophie Heyer,Robert Rothe,,24,49,,,73,24,30
FRA,8729,Robert Ronnback,Jordane Lafortune,,26,49,,,75,26,31
FRA,9068,François de Lisle,Hervé Brillaud,,27,49,,,76,27,32
FRA,8820,Thibault Di Pède,Fabrice Toupet,,28,49,,,77,28,33
ITA,8743,Federico Pilo Pais,Marco Giraldi,,29,49,,,78,29,34
FRA,8362,Olivier Magret,Mathieu Glade,,30,49,,,79,30,35
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,31,49,,,80,31,36
FRA,9098,Michel Delsemme,Marc Pajot,,32,49,,,81,32,37
FRA,8402,Loïc Bleuez,Frederic Roucayrol,,33,49,,,82,33,38
SUI,8727,Lorenz Nydegger,Martin Nydegger,,34,49,,,83,34,39
FRA,8943,Philippe Markt,Delphine Markt,,35,49,,,84,35,40
FRA,9019,Véronique Brenet,Jean-Pierre Peter,,36,49,,,85,36,41
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,37,49,,,86,37,42
GER,8874,Steffen Henning,Arne Lanatowitz,,38,49,,,87,38,43
FRA,8870,Christian Silvestre,Aline Martin,,39,49,,,88,39,44
GER,8473,Christoph Böckle,Timo Böckle,,40,49,,,89,40,45
FRA,8834,Eric Verplanken,Gilles Casanova,,41,49,,,90,41,46
FRA,8139,Frederic le Delaizir,Philippe Bradfer,,42,49,,,91,42,47
FRA,8802,Pascal Viaud,Alban Viaud,,43,49,,,92,43,48
