Nation,sail #,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Boat Name,Nett,Rank
CAN,8866,Cynthia Des Brisay,Charles Hansen,KYC,1,1,1,1,1,1,(2.0),1,9,Non Sequitur,7,1st
CAN,8410,Clarissa Bush,Chris Gillies,NSC,2,3,4,2,(5.0),3,1,2,22,Bandersnatch,17,2nd
CAN,7346,Debbie Ashby,David Adams,NSC,(4.0),2,2,4,3,2,3,3,23,Loose Unit,19,3rd
CAN,8645,Marg Hurley,Christian Dechamplain,NSC,3,(4.0),3,3,2,4,4,4,27,Green With Envy,23,4th
CAN,8260,Shona Loveshin-Moss,Kyber Lovshin,GRYC/NSC,(9.0 DNC),6,7,5,9.0 DNC,6,5,5,52, ,43,5th
CAN,7605,Renka Gesing,Adam Gesing,South Port SC,(9.0 DNF),5,5,7,4,9.0 DNC,9.0 DNC,9.0 DNC,57, ,48,6th
CAN,8368,Jim Dingle,Leszek Nowozielski,NSC,5,7,8,(9.0 DNC),9.0 DNC,5,9.0 DNC,9.0 DNC,61,Suasion V,52,7th
CAN,8233,Paul Place,David Browne,NSC,(9.0 DNS),8,6,6,9.0 DNC,9.0 DNC,9.0 DNC,9.0 DNC,65,no name,56,8th
