Boot,Boat NO,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Punkte,Pl.
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,4,5,1,10,1
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,7,1,3,11,2
GER,8549,Jens Meinert,Thomas Sobott,BCN,1,2,10,13,3
GER,8746,Stefan Böhm,Gerald Roos,SCV,2,9,2,13,4
BEL,8536,Bart Meynendonckx,Chris Lehouck,VVWH,5,4,4,13,5
GER,8570,Till Supan,Markus Conrad,ETUF,6,11,7,24,6
GER,8658,Christian Schäfer,Uwe Lätzsch,BYC,11,3,11,25,7
GER,8633,Frank Weigelt,Wolfgang Stückl,DTYC,13,6,6,25,8
GER,8522,Torsten Hessler,Klaus Hönemann,SVSE,9,10,8,27,9
GER,8580,Frieder Achterberg,Sebastian Dörr,DTYC,12,8,12,32,10
GER,8343,Sven Bräcker,Julia Exter,SVWu,3,12,18,33,11
GER,8335,Roger Rachuba,Jens Wilke,SCSt,8,16,9,33,12
GER,8542,Tom Swift,Arnd Hover,NRV,10,DSQ (26),5,41,13
GER,8623,Jörg Morche,Oliver Deutschbein,BSV,19,7,15,41,14
GER,8414,Stefan Worm,Mathias Kaiser,RYC,14,14,16,44,15
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,18,17,13,48,16
GER,8388,Andreas Klein,Marius Knippscheer,SCN,15,13,DNC (26),54,17
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,22,19,14,55,18
BEL,8463,Emil Van Hemeldonck,Jan Van Hemeldonck,VVW,17,20,20,57,19
GER,8187,Barbara Jesse,Heino Sahling,SGB,20,15,23,58,20
GER,8575,Sven Hollenbeck,Björn Hollenbeck,WYCD,24,18,17,59,21
GER,8108,Thorge Holm,Nils Holm,BCN,16,22,22,60,22
GER,8609,Christian Müllejans,André Müller,SVWu,21,21,19,61,23
GER,8530,Alexander von Mertens,Jochen Heydolph,StSC,DSQ (26),23,21,70,24
GER,8178,Thomas Wellner,Michael Patz,RSCWW,23,24,24,71,25
