USA,Sail/Bow,Skipper,,RSA#/Club,1,2,3,4,5,6,Total Points,Pos
USA,8631,Ryan Cox,,,1,1,3,1,2,1,9,1
USA,7093,Rene de la Rie,,,2,6,1,2,1,5,17,2
USA,8734,Ali Meller,,,6,3,4,3,6,2,24,3
USA,7346,John Hauser,,,4,7,2,4,3,6,26,4
USA,8735,Dustin Romey,,,5,5,6,5,4,3,28,5
USA,7776,RE O'Brien,,,7,8,5,6,7,4,37,6
USA,8722,Macy Nelson,Nick Nelson,,3,2,9,13/DNC,13/DNC,13/DNC,53,7
USA,8263,Sriram Jambunachan,,,13/DNC,13/DNC,13/DNC,7,5,7,58,8
USA,8643,Barney Harris,,,13/DNC,4,7,13/DNC,13/DNC,13/DNC,63,9
USA,7876,Steve Lieberman,,,8,10,8,13/DNC,13/DNC,13/DNC,65,10
USA,7879,Clayton James,,,9,9,10,13/DNC,13/DNC,13/DNC,67,11
USA,6985,Dylan Breton,,,13/DNC,13/DNC,13/DNC,13/DNC,13/DNC,13/DNC,78,12
