,,driver,crew,,Race 1,Points,place
USA,7886,Dan Strellis,Kirstin Guinther,,1,1,1
RSA,,Grant,Ian,,2,2,2
USA,,Doug,Kirk,,3,3,3
USA,,Ward,Merrilyn,,4,4,4
