nation,Boat NO,skip,crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Drop,total points,Place
USA,7685,Graham Alexander,Carol Alexander,,0.75,0.75,0.75,2,3*,0.75,3,5,1
CAN,7605,Renka Gesing,Adam Gesing,,2,2,5*,4,0.75,2,5,10.75,2
USA,8600,Ki Kaiser,Jahn Badke,,4,3,2,0.75,2,5*,5,11.75,3
USA,8624,Dave Stetson,Tim Noble,,3,4,6*,3,4,3,6,17,4
USA,7793,Dave Seiple,Geoff Schaffer,,8*,6,3,6,6,6,8,27,5
USA,7356,Mike Goldstein,Rod Ginter,,5,7,10*,5,7,4,10,28,6
USA,6663,Allan Brown,Bill Hanson,,7,5,4,10*,10,10,10,36,7
USA,7347,Phil Terman,Susan Gilly,,9*,8,7,8,5,8,9,36,8
USA,8073,Katherine Viechnicki,Stephen Long,,6,9,10&,7,8,7,10,37,9
