Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8671,"Joachim Hellmich","Christian Paschen",WYD,1,1,4,1,7,,1
GER,8619,"Jens Findel","Johannes Tellen",KYC,5,2,1,3,11,,2
GER,8725,"Petra Kliba-Schmidt","Rolf Meyer",SKWB,2,6,3,2,13,,3
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,3,4,2,4,13,,4
GER,8657,"Georg Neulen","Nico Tietz",WYCA,4,3,6,6,19,,5
GER,8127,"Kristine König","Thilo König",BSV,7,5,5,5,22,,6
GER,8590,"Johannes Boy","Markus Conrad",ZSK,6,7,8,"DNC 11",32,,7
GER,8254,"Florian Mayntz","Vanessa Detlmer",SVWu,8,8,7,7,30,,8
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,9,9,9,8,35,,9
GER,8465,"Lisa Tellen","Philipp Strohkirch",RSC77,10,"DNF 11","DNC 11","DNC 11",43,,10
