Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8651,"Claas Lehmann","Martin Schöler",NRV,1,6,1,4,1,2,15,,1
GER,8826,"Wolfgang Hunger","Holger Jess",PYC,3,4,2,1,3,3,16,,2
FRA,8802,"Philippe Boite","Fabrice Toupet",CVM,9,27,4,3,7,1,51,,3
GER,8580,"Michael Seeger","Andreas Achterberg",DTYC,12,21,15,8,6,5,67,,4
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,15,19,29,10,2,11,86,,5
GER,8775,"Tom Swift","Oliver Tessloff",NRV,18,13,14,"BFD 57",5,7,114,,6
GER,8670,"Martin Görge","Rainer Görge",TSVS,7,11,3,2,"DNC 57","DNC 57",137,,7
GER,8692,"Nicolai Völckner","Lars Dehne",HSC,26,23,26,19,8,6,108,,8
GER,8619,"Jens Findel","Johannes Tellen",KYC,5,12,"OCS 57","BFD 57",4,4,139,,9
GER,8825,"Stefan Köchlin","Axel Priegann",SKF,6,5,10,7,"DNC 57","DNC 57",142,,10
GER,8672,"Christian Kellner","Klaus Stammerjohann",HSC,14,3,6,6,"DNF 57","DNC 57",143,,11
GER,8665,"Jens-Peter Schlomka","Thorsten Lehmann",TSVS,23,43,23,29,10,9,137,,12
GER,8527,"Tim Steinert","Jens Steinert",ZSK,31,14,33,34,9,8,129,,13
GER,8376,"Volker Niedik","Stefan Heising",BSV,11,7,9,12,"DNC 57","DNC 57",153,,14
DEN,8440,"Per Larsen","Henrik Andersen",Farum,8,9,5,20,"DNC 57","DNC 57",156,,15
SWE,8655,"Krister Bergström","Anders Nordstrom",GKSS,16,8,11,9,"DNC 57","DNC 57",158,,16
GER,8550,"Tom Gosch","Jörg Müller",ENSFV,4,15,8,21,"DNC 57","DNC 57",162,,17
GER,8725,"Ludger Huttermann","Rolf Meyer",PYC,13,24,17,5,"DNC 57","DNC 57",173,,18
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,19,31,12,13,"DNC 57","DNC 57",189,,19
GER,8522,"Hannes Lehning","Oliver Rösner",SWE,45,36,39,39,11,10,180,,20
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,10,2,7,"BFD 57","DNC 57","DNC 57",190,,21
GER,8625,"Alex Cross","Falko Braun",SCR,25,20,16,17,"DNC 57","DNC 57",192,,22
GER,8702,"Martin Handel","Frank Letsche",SGK,40,35,42,40,12,"RDG 57",226,,23
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,21,25,27,11,"DNC 57","DNC 57",198,,24
GER,8749,"Stephan Krause","Michael Krause",HiSC,17,16,21,30,"DNC 57","DNC 57",198,,25
GER,8633,"Sophie Söllner","Wolfgang Stückl",CYC,20,17,30,18,"DNC 57","DNC 57",199,,26
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,37,33,13,16,"DNC 57","DNC 57",213,,27
GER,8664,"Franziska Unkelbach","Kathrin Adelkofer",KYC,22,18,24,38,"DNC 57","DNC 57",216,,28
GER,8675,"Volker Görge","Karsten Morf",TSVS,27,44,18,15,"DNC 57","DNC 57",218,,29
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,24,48,20,14,"DNC 57","DNC 57",220,,30
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,30,22,36,28,"DNC 57","DNC 57",230,,31
GER,8669,"Tim Böger","Philipp Mühlenhardt",HSC,38,1,19,"DNC 57","DNC 57","DNC 57",229,,32
GER,8674,"Christian Niefert","Thomas Weber",BSV,32,37,28,22,"DNC 57","DNC 57",233,,33
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,29,29,38,25,"DNC 57","DNC 57",235,,34
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,33,30,35,24,"DNC 57","DNC 57",236,,35
GER,8657,"Georg Neulen","Kai-Uwe Weiss",WYCA,36,28,31,32,"DNC 57","DNC 57",241,,36
GER,8609,"Alexander Holzapfel","Dirk Ipach",PSVK,28,39,25,36,"DNC 57","DNC 57",242,,37
GER,8567,"Michael Rössler","Holger Neuhaus",SKMD,2,10,"DNC 57","DNC 57","DNC 57","DNC 57",240,,38
GER,8465,"Petra Kliba-Schmidt","Jan-Rolf Schmidt",SKWB,43,34,22,35,"DNC 57","DNC 57",248,,39
GER,8530,"Alexander von Mertens","Frank Weigelt",StSC,34,47,34,23,"DNC 57","DNC 57",252,,40
