Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,1,5,2,5,1,4,,1
GER,8826,Wolfgang Hunger,Holger Jess,PYC,2,1,1,9,5,5,,2
GER,8669,Tim Böger,Holger Neuhaus,HSC,3,2,10,2,8,3,,3
DEN,8440,Per Larsen,Henrik Andersen,Farum,9,4,3,23,3,1,,4
GER,8619,Jens Findel,Johannes Tellen,KYC,8,3,5,7,2,7,,5
GER,8671,Joachim Hellmich,Christian Paschen,WYD,4,10,4,3,7,9,,6
GER,8550,Tom Gosch,Jörg Müller,ENSFV,5,7,6,4,12,13,,7
GER,8825,Stefan Köchlin,Axel Priegann,SKF,7,15,11,1,15,2,,8
GER,8725,Ludger Huttermann,Rolf Meyer,PYC,6,13,8,6,10,6,,9
GER,8758,Jürgen Hatje,Ole Günther,KYC,11,6,7,DNC,6,17,,10
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,12,16,9,19,14,8,,11
GER,8675,Volker Görge,Marlies Endjer,TSVS,14,18,15,DNC,9,11,,12
GER,8527,Tim Steinert,Jens Steinert,ZSK,18,8,16,8,20,18,,13
GER,8749,Stephan Krause,Michael Krause,HiSC,10,12,DSQ,28,4,16,,14
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,22,9,13,20,13,15,,15
GER,8657,Melanie Horstmann,Georg Neulen,HSC,17,11,21,27,11,20,,16
GER,8609,Alexander Holzapfel,Dirk Ipach,PSVK,DNC,22,12,11,17,19,,17
GER,8674,Christian Niefert,Thomas Weber,BSV,21,21,14,13,19,25,,18
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,20,14,19,32,26,10,,19
GER,8531,Michael Troch,Eckart König,SGJ,19,19,19,DNC,21,14,,20
GER,8507,Armin Eismann,Tino Käcks,SCA,16,27,22,10,25,21,,21
GER,8127,Kristine König,Thilo König,BSV,25,17,17,21,18,22,,22
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,13,20,23,31,16,24,,23
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,15,23,26,29,27,12,,24
GER,8563,Klaus Heeschen,Igmar Schulz,WSCW,27,29,25,15,23,23,,25
GER,8734,Jan Behrendt,Stefan Thurmann,NRV,24,24,20,22,29,31,,26
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,26,28,24,12,33,33,,27
GER,8433,Jürgen Anton,Kai-Uwe Weiss,HSC,28,25,28,17,31,27,,28
GER,8607,Antje Paulsen,Björn Schaar,BSV,30,26,31,16,28,26,,29
GER,8575,Jürgen Waldheim,Martin Maal,PYC,29,32,29,18,22,29,,30
DEN,8333,Mads Christiansen,Mikkel Christiansen,AS,23,30,27,26,30,30,,31
GER,8392,Georg Mittermayer,Konrad Barop,LYC,31,31,30,14,32,32,,32
GER,8065,Jonas von Weidenberg,Stefan Lührs,SCE,32,33,32,25,34,34,,33
GER,7991,Henrik Heidorn,Hauke Sievers,SCE,34,34,DNC,DNC,24,26,,34
GER,8470,Bernd Lenz,Roland Herrmann,SLRV,33,35,33,30,35,35,,35
GER,8387,Thomas Maxeiner,Iris Maxeiner,SVNO,35,36,34,23,DNC,DNC,,36
