Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Brutto,Netto,Place
GER,8800,Tim Böger,Holger Jess,HSC,1,7,8,8,1
GER,8651,Claas Lehmann,Martin Schöler,NRV,8,1,9,9,2
GER,8670,Martin Görge,Torsten Hauerland,TSVS,5,4,9,9,3
GER,8622,Lutz Stengel,Frank Feller,ROYC,4,5,9,9,4
GER,8825,Stefan Köchlin,Axel Priegann,SKF,7,3,10,10,5
GER,8664,Franziska Unkelbach,Kathrin Adelkofer,KYC,10,2,12,12,6
GER,8317,Peter Hecht,Antje Gosch,,2,11,13,13,7
GER,8672,Tom Gosch,Klaus Stammerjohann,ENSFV,3,12,15,15,8
GER,8507,Armin Eismann,Tino Käcks,SCA,9,9,18,18,9
GER,8601,Hans-Heinrich Rix,Steffen Achenbach,TSVS,15,6,21,21,10
GER,8749,Stephan Krause,Michael Krause,HiSC,13,8,21,21,11
GER,8531,Michael Troch,Eckart König,SGJ,6,16,22,22,12
GER,8663,Nørbert Dasenbrook,Sven Meier,KSW,12,1,13,13,13
GER,8750,Christian Müllejans,Thomas Jung,SVWu,11,14,25,25,14
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,19,13,32,32,15
GER,8430,Klaus Heeschen,Stefan Schmidt,WSCW,14,2,16,16,16
GER,8775,Petra Kliba-Schmidt,Jan-Rolf Schmidt,SKWB,20,15,35,35,17
GER,8661,Diethardt Freye,Michael Klügel,BSV,17,18,35,35,18
GER,8662,Jan Stölken,Matthias Brühl,SCU,16,25,41,41,19
GER,8414,Stefan Worm,Mathias Kaiser,RYC,22,19,41,41,20
GER,8433,Jürgen Anton,Thomas Tschentscher,HSC,25,17,42,42,21
GER,8607,Antje Paulsen,Björn Schaar,BSV,18,26,44,44,22
GER,7764,Jan Sell,Wiebke Gewinn,TUSF,27,21,48,48,23
GER,8522,Hannes Lehning,Oliver Rösner,SWE,26,22,48,48,24
GER,8441,Rainer Gerdes,Ron Martin,SSCK,21,28,49,49,25
GER,8297,Steve Kwee,Henrik Masekowitz,HSC,24,27,51,51,26
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,23,29,52,52,27
GER,8470,Bernd Lenz,Thomas Brodersen,SLRV,33,23,56,56,28
GER,8404,Finn Mrugalla,Eike Dietrich,WSCW,32,24,56,56,29
GER,8065,Jonas von Weidenberg,Stefan Lührs,SCE,29,32,61,61,30
GER,7878,Karsten Steinbach,Markus von Hummel,ASV,31,31,62,62,31
GER,8560,Stefan Behra,Hanke Mollnau,KYC,30,33,63,63,32
GER,8590,Johannes Boy,Markus Conrad,ZSK,34,3,37,37,33
GER,8818,Peter-Beck Mikkelsen,Dines Pontoppidan,SYC,28,DNC 36,64,64,34
GER,8252,Peter Schäftlein,Uwe Kersten,SVF,DNF 36,34,70,70,35
