Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8826,"Wolfgang Hunger","Holger Jess",PYC,"DNF 52",1,1,1,1,3,59,,1
GER,8670,"Martin Görge","Rainer Görge",TSVS,2,2,7,4,2,"DNF 52",69,,2
GER,8672,"Christian Kellner","Klaus Stammerjohann",HSC,"DNC 52",7,2,5,3,2,71,,3
GER,8825,"Stefan Köchlin","Axel Priegann",SKF,9,6,3,9,6,5,38,,4
GER,8725,"Ludger Huttermann","Rolf Meyer",PYC,7,12,6,2,13,11,51,,5
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,5,11,16,12,11,4,59,,6
GER,8651,"Claas Lehmann","Martin Schöler",NRV,22,3,9,20,8,6,68,,7
GER,8769,"Stefan Böhm","Gerald Roos",SCV,19,8,8,7,7,"DNC 52",101,,8
GER,8775,"Tom Swift","Oliver Tessloff",NRV,"DNF 52",5,13,6,20,10,106,,9
GER,8675,"Volker Görge","Karsten Morf",TSVS,6,16,10,"DNF 52",10,12,106,,10
GER,8692,"Nicolai Völckner","Lars Dehne",HSC,8,13,12,16,25,9,83,,11
DEN,8620,"Jan Saugmann","Morten Ramsbæk",HiS,1,"DNF 52","DNC 52",3,4,1,113,,12
GER,8567,"Michael Rössler","Holger Neuhaus",SKMD,"DNF 52",17,14,13,15,13,124,,13
DEN,8656,"Jörgen Riber","Henrik Buhl",SLET,4,4,5,"DNC 52",5,"DNC 52",122,,14
GER,8527,"Tim Steinert","Jens Steinert",ZSK,15,20,18,18,16,22,109,,15
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,10,14,15,25,27,"DNC 52",143,,16
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,12,19,21,33,18,21,124,,17
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,14,18,20,22,"DNF 52",19,145,,18
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,11,22,28,"DNC 52",22,15,150,,19
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,16,9,4,11,"DNF 52","DNC 52",144,,20
GER,8531,"Michael Troch","Eckart König",SGJ,20,26,22,21,23,18,130,,21
GER,8669,"Tim Böger","Thomas Tschentscher",HSC,"DNF 52",10,25,28,29,14,158,,22
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,18,"DNF 52",19,19,35,16,159,,23
GER,8622,"Lutz Stengel","Frank Feller",ROYC,3,25,11,8,"DNF 52","DNC 52",151,,24
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,23,23,23,23,21,28,141,,25
GER,8619,"Jens Findel","Eike Dietrich",KYC,"DNF 52",15,17,14,9,"DNC 52",159,,26
GER,8749,"Stephan Krause","Michael Krause",HiSC,"DNF 52",29,29,29,26,25,190,,28
GER,8580,"Sebastian Dörr","Andreas Achterberg",HSC,21,24,27,17,"DNC 52","DNC 52",193,,29
GER,8674,"Christian Niefert","Thomas Weber",BSV,"DNF 52",21,26,27,17,"DNC 52",195,,30
