Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8567,"Michael Rössler","Holger Neuhaus",SKMD,2,1,"OCS 43",2,2,2,52,,1
GER,8744,"Jörg Häger","Hans-Heinrich Rix",SCB,"OCS 43",3,3,5,7,3,64,,2
GER,8663,"Nørbert Dasenbrook","Sven Meier",KSW,12,2,4,12,6,1,37,,3
GER,8661,"Diethardt Freye","Michael Klügel",BSV,3,7,"OCS 43",10,3,4,70,,4
GER,8758,"Jürgen Hatje","Ole Günther",KYC,7,5,2,6,10,11,41,,5
GER,8730,"Jens Hufnagel","Jens Hufnagel",ScStM,"OCS 43",6,6,1,12,6,74,,6
GER,8751,"Michael Quirk","Angela Stenger",MHYC,1,14,1,11,9,13,49,,7
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,5,11,"DNF 43",4,4,16,83,,8
GER,8675,"Volker Görge","Marlies Endjer",TSVS,4,15,12,9,5,17,62,,9
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,14,19,"DNC 43",7,1,5,89,,10
GER,8317,"Hartwig Friedrichs","Antje Gosch",WSCW,"DNF 43",16,5,8,8,9,89,,11
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,8,13,7,20,13,7,68,,12
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,15,4,8,27,29,8,91,,13
GER,8657,"Melanie Horstmann","Georg Neulen",HSC,6,17,9,21,17,19,89,,14
GER,8674,"Christian Niefert","Thomas Weber",BSV,"OCS 43",10,17,15,14,12,111,,15
GER,8127,"Kristine König","Thilo König",BSV,22,31,16,3,16,15,103,,16
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,27,12,14,17,11,32,113,,17
GER,8527,"Tim Steinert","Jens Steinert",ZSK,18,9,10,29,21,24,111,,18
GER,8507,"Armin Eismann","Tino Käcks",SCA,17,20,11,22,15,21,106,,19
GER,8531,"Michael Troch","Eckart König",SGJ,11,18,20,33,23,18,123,,20
GER,8702,"Martin Handel","Christoph Fuchs",SGK,16,27,23,25,18,10,119,,21
GER,8609,"Alexander Holzapfel","Dirk Ipach",PSVK,24,24,26,13,20,14,121,,22
GER,8441,"Rainer Gerdes","Dietmar Roggenbau",SSCK,10,33,25,24,22,23,137,,23
GER,8570,"Alexander Kodisch","Knut Herbold",DTYC,23,26,15,14,"DNF 43",29,150,,24
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,28,23,18,19,26,22,136,,25
GER,8522,"Hannes Lehning","Holger Lehning",SWE,26,22,13,34,27,28,150,,26
GER,8692,"Nicolai Völckner","Lars Dehne",HSC,13,8,"DNC 43",18,33,"DNC 43",158,,27
GER,8327,"Dirk Frank","Stefan Kempf",SCS,21,21,21,23,32,31,149,,28
GER,7764,"Jan Sell","Wiebke Gewinn",TUSF,9,29,22,30,30,34,154,,29
GER,8664,"Franziska Unkelbach","Nana Müller",KYC,25,"DNC 43","DNC 43",16,19,26,172,,30
GER,8365,"Steffen Dülsen","Robert Hanke",VSW,19,35,19,35,28,30,166,,31
GER,8297,"Steve Kwee","Henrik Masekowitz",HSC,37,36,"DNF 43",26,25,20,187,,32
GER,8458,"Christiane Giefers","Jens Krause",SVPB,29,34,24,32,34,25,178,,33
GER,8528,"Andre Tirre","Frank Wille",YCS,34,38,32,31,24,27,186,,34
GER,8047,"Grietje Therkorn","Kirstin Schirrmacher",CKA,20,30,"DNC 43",28,36,38,195,,35
GER,8437,"Dirk Grotebruner","Johannes Stricker",CKA,30,25,29,38,35,36,193,,36
GER,8388,"Caroline Szesny","Peter Wolffram",FYC,36,32,31,37,31,"DNC 43",210,,37
GER,8560,"Stefan Behra","Hanke Mollnau",KYC,33,37,27,39,39,33,208,,38
GER,8108,"Thorge Holm","Anette Schulte",BCN,31,40,30,40,38,35,214,,39
GER,8254,"Florian Mayntz","Hennrik Pferdehirt",SVWu,32,39,33,36,37,37,214,,40
GER,8607,"Antje Paulsen","Björn Schaar",BSV,35,28,28,"DNC 43","DNC 43","DNC 43",220,,41
GER,6352,"Arne Stolze","Daniel Stursberg",LYC,"DNF 43",41,"DNC 43","DNF 43","DNC 43","DNC 43",256,,42
