Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8580,"Markus Mühlbauer","Andreas Achterberg",DTYC,1,1,1,1
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,2,2,2,2
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,3,3,3,3
GER,8642,"Thoralf Greger","Thomas Jung",ASVG,4,4,4,4
GER,8633,"Johannes Schmederer","Wolfgang Stückl",DTYC,5,5,5,5
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,6,6,6,6
GER,8570,"Alexander Kodisch","Dominik Hafner",DTYC,7,7,7,7
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,8,8,8,8
GER,8621,"Stephan Schweiger","Matthias Schmederer",SCLW,9,9,9,9
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,10,10,10,10
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,11,11,11,11
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,12,12,12,12
GER,8546,"Frank Rupprich","Dirk Hänsgen",,13,13,13,13
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,14,14,14,14
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,15,15,15,15
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,16,16,16,16
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,17,17,17,17
GER,8204,"Guido von Walter","Alexander Krohmer",SCLW,18,18,18,18
GER,7769,"Peter Wackerbauer","Stefan Rosinger",RSB,19,19,19,19
GER,8210,"Christian Pittack","Francisco Sanguino",SCLW,20,20,20,20
GER,8777,"Michael Daisenberger","Matthias Hauger",DTYC,21,21,21,21
