Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8670,"Felix Ismar","Rainer Görge",WYD,3,1,1,2,7,,1
GER,8750,"Michael Rössler","Holger Neuhaus",SKMD,1,2,2,5,10,,2
GER,8671,"Joachim Hellmich","Christian Paschen",WYD,2,3,3,3,11,,3
GER,8609,"Alexander Holzapfel","Markus Schöner",PSVK,8,4,6,1,19,,4
GER,8664,"Franziska Unkelbach","Andreas John",KYC,5,8,5,4,22,,5
GER,8519,"Stephan Schweiger","Robert Wisolek",SCLW,6,5,4,10,25,,6
GER,8725,"Ronald Roos","Rolf Meyer",SVWu,4,7,8,9,28,,7
GER,8751,"Melanie Horstmann","Angela Stenger",HSC,11,11,7,7,36,,8
GER,8480,"Sven Hollenbeck","Björn Hollenbeck",WYCD,7,"DNC 17",12,8,44,,9
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,9,6,15,14,44,,10
GER,8692,"Nicolai Völckner","Mareike Mareike",HSC,"DNC 17","DNC 17",9,6,49,,11
GER,8522,"Hannes Lehning","Matthias Lang",SWE,12,9,13,12,46,,12
GER,8441,"Rainer Gerdes","Falk Stenger",SSCK,13,10,11,13,47,,13
GER,8433,"Jürgen Anton","Wolf Pfeiffer",HSC,10,"DNC 17",10,15,52,,14
GER,8437,"Dirk Grotebruner","Johannes Stricker",CKA,14,"DNC 17",14,11,56,,15
GER,8259,"Alexander Kodisch","Christian Blesken",DTYC,"DNC 17","DNC 17",16,16,66,,16
