Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8768,"Jörg Häger","Holger Jess",SCB,1,1,4,6,6,1
GER,8670,"Martin Görge","Klaus Köhnlein",TSVS,2,3,1,6,6,2
GER,8550,"Tom Gosch","Andreas Willim",ENSFV,4,2,2,8,8,3
GER,8531,"Michael Troch","Eckart König",SGJ,3,5,13,21,21,4
GER,8758,"Jürgen Hatje","Harald Schott",KYC,10,7,5,22,22,5
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,5,9,14,28,28,6
GER,8686,"Anna Lang","Lars Dehne",WVH,8,10,11,29,29,7
GER,8317,"Hartwig Friedrichs","Antje Gosch",WSCW,7,15,8,30,30,8
GER,8507,"Armin Eismann","Tino Käcks",SCA,12,11,7,30,30,9
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,"DNC 24",6,3,33,33,10
GER,8127,"Kristine König","Thilo König",BSV,13,13,9,35,35,11
GER,8433,"Jürgen Anton","Hans Bull",HSC,11,12,15,38,38,12
GER,8662,"Jan Stölken","Matthias Brühl",SCU,9,"DSQ 24",6,39,39,13
GER,8825,"Jürgen Waldheim","Martin Maal",PYC,6,"DSQ 24",17,47,47,14
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,"DNC 24",8,16,48,48,15
GER,8297,"Steve Kwee","Thorsten Spötter",HSC,14,16,18,48,48,16
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,15,14,21,50,50,17
GER,8675,"Karsten Morf","Heike Jansen",CKA,17,"DNC 24",10,51,51,18
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,"DSQ 24",4,"DNF 24",52,52,19
GER,8065,"Jonas von Weidenberg","Stefan von Weidenberg",SCE,16,17,19,52,52,20
GER,8470,"Björn Pieper","Bernd Lenz",,18,19,20,57,57,21
GER,8657,"Georg Neulen","Kai-Uwe Weiss",WYCA,"DSQ 24","DSQ 24",12,60,60,22
GER,8590,"Johannes Boy","Markus Conrad",ZSK,"DNF 24",18,22,64,64,23
