,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Punkte,Pl.
GER,8619,Jens Findel,Johannes Tellen,KYC,1,1,3,5,1
GER,8608,Bernd Rasenack,Carl Riebe,ZSK,2,2,2,6,2
GER,8622,Lutz Stengel,Frank Feller,ROYC,3,3,1,7,3
GER,8441,Rainer Gerdes,Ron Martin,SSCK,5,4,5,14,4
GER,8471,Daniel van Bonn,Malte Coers,SKBUE,DNC,5,4,19,5
GER,8127,Kristine König,Thilo König,BSV,6,7,6,19,6
GER,8527,Tim Steinert,Jens Steinert,ZSK,DNC,6,7,23,7
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,4,DNC,DNC,24,8
GER,8937,Dirk Gratzbone,Johannes Stricker,CKA,7,DNC,DNC,27,9
