Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8622,Lutz Stengel,Frank Feller,ROYC,5,3,3,1,2,14,,1
GER,8619,Jens Findel,Johannes Tellen,KYC,7,2,2,2,10,23,,2
GER,8651,Jens-Peter Schlomka,Martin Schöler,TSVS,8,6,5,4,1,24,,3
GER,8672,Matthias Jetschke,Klaus Stammerjohann,WSCW,2,4,4,16,6,32,,4
GER,8550,Tom Gosch,Jörg Müller,ENSFV,3,5,8,6,9,31,,5
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,12,9,20,3,7,51,,6
GER,8664,Franziska Unkelbach,Andreas John,KYC,6,12,16,5,8,47,,7
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,11,7,6,7,28,59,,8
GER,8686,Henrike Rolf,Lars Dehne,,13,8,7,21,5,54,,9
GER,8807,Stefan Köchlin,Holger Jess,SKF,1,1,1,DNF 32,DNF 32,67,,10
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,4,14,13,8,21,60,,11
GER,8711,Carsten Engel,Tobias Neumeyer,PSVK,14,13,19,10,3,59,,12
GER,8662,Jan Stölken,Matthias Brühl,SCU,9,10,12,18,19,68,,13
GER,8657,Georg Neulen,Kai-Uwe Weiss,WYCA,25,16,15,9,12,77,,14
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,21,DSQ 32,17,12,4,86,,15
GER,8563,Klaus Heeschen,Igmar Schulz,WSCW,17,11,9,17,DNC 32,86,,16
GER,8825,Jürgen Waldheim,Robert Bussenius,PYC,DNF 32,15,10,11,20,88,,17
GER,8127,Kristine König,Thilo König,BSV,16,18,11,15,15,75,,18
GER,8433,Jürgen Anton,Wolf Pfeiffer,HSC,15,21,14,14,14,78,,19
GER,8480,Carsten Hammer,Lasse Stehnken,,18,17,18,19,17,89,,20
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,10,DSQ 32,DNF 32,13,13,100,,21
GER,8665,Urs Wihlfahrt,Mira Grättinger,,20,22,22,20,18,102,,22
GER,8065,Jonas von Weidenberg,Henrik Heidorn,SCE,19,23,25,24,16,107,,23
GER,8297,Steve Kwee,Henrik Masekowitz,HSC,27,24,28,23,11,113,,24
GER,8392,Georg Mittermayer,Konrad Barop,LYC,23,19,24,22,23,111,,25
GER,8607,Antje Paulsen,Björn Schaar,BSV,22,20,23,25,DNC 32,122,,26
GER,8470,Bernd Lenz,Marlies Endjer,SLRV,24,26,21,26,25,122,,27
GER,8634,Simon Kosog,Gerrit Haaland,,26,DNC 32,26,28,22,134,,28
GER,8674,Nick Dose,Andreas Poppe,,28,25,27,27,24,131,,29
GER,8370,Karsten Stümpel,Matthias Struck,HSC,30,27,29,29,26,141,,30
GER,6685,Axel Reese,Matthias Fedde,OSC,29,28,DNF 32,30,27,146,,31
