,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Platze
GER,8671,Joachim Hellmich,Christian Paschen,WYD,2,1,1,3,,1
GER,8769,Stefan Böhm,Gerald Roos,SCV,4,2,2,1,,2
GER,8580,Markus Mühlbauer,Andreas Achterberg,DTYC,1,3,5,2,,3
GER,8633,Sophie Söllner,Wolfgang Stückl,CYC,3,6,3,4,,4
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,6,7,4,7,,5
GER,8772,Ronald Roos,Kirsten Roos,SVWu,7,4,6,10,,6
GER,8725,Joachim Oetken,Rolf Meyer,FYC,5,8,8,9,,7
GER,8567,Michael Rössler,Holger Neuhaus,SKMD,DNF,9,9,5,,8
GER,8662,Jan Stölken,Matthias Brühl,SCU,10,5,11,13,,9
GER,8670,Sven Hollenbeck,Björn Hollenbeck,WYCD,9,12,12,6,,10
GER,8414,Stefan Worm,Mathias Kaiser,RYC,8,13,15,8,,11
GER,8751,Felix Ismar,Angela Stenger,WYD,11,14,7,12,,12
GER,8750,Christian Müllejans,Thomas Jung,SVWu,12,11,10,14,,13
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,DSQ,10,13,17,,14
GER,8259,Fritz Hollenbeck,Lars Teutenberg,WSC,15,DNC,16,15,,15
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,13,15,19,DNF,,16
GER,8222,Andre Teutenberg,Sven Werenbrecht,YCWM,DNC,DNF,14,11,,17
GER,8108,Thorge Holm,Tobias Küter,BCN,DNF,17,20,16,,18
GER,8441,Rainer Gerdes,Ron Martin,SSCK,14,16,DNC,DNC,,19
GER,8388,Caroline Szesny,Peter Wolffram,FYC,DNF,DNC,17,19,,20
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,DNF,DNC,18,18,,21
