Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8625,"Alex Cross","Falko Braun",SCR,6,1,1,1,9,,1
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,1,2,2,2,7,,2
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,8,3,3,3,17,,3
GER,8642,"Thoralf Greger","Fabian Martyson",ASVG,2,7,4,"DNC 14",27,,4
GER,8654,"Nikolaus Jägersberg","Jürgen Wiesmeier",SCLW,9,5,5,4,23,,5
GER,8204,"Guido von Walter","Wiebke Waldheim",SCLW,4,8,"DNF 14",6,32,,6
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,7,6,6,7,26,,7
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,5,12,7,9,33,,8
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,3,4,"DNF 14","DNC 14",35,,9
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,12,11,8,5,36,,10
GER,8210,"Christian Pittack","Anne Fitzpatrick",SCLW,13,13,9,8,43,,11
GER,7769,"Peter Wackerbauer","Stefan Rosinger",RSB,11,10,"DNF 14",10,45,,12
GER,8777,"Berthold Frohmader","Francisco Sanguino",SGR,10,9,"DNF 14","DNC 14",47,,13
