Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,2,1,1,1,5,,1
GER,8692,"Nicolai Völckner","Lars Dehne",HSC,1,2,4,3,10,,2
GER,8675,"Volker Görge","Karsten Morf",TSVS,4,"OCS 15",3,2,24,,3
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,5,3,2,6,16,,4
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,3,4,5,5,17,,5
GER,8507,"Armin Eismann","Tino Käcks",SCA,6,6,7,4,23,,6
GER,8500,"Robert Baumann","Michael Hochbaum",SSV,7,5,10,8,30,,7
GER,6433,"Hendrik Reinhardt","Axel Schult",SVSF,9,7,9,"DNF 15",40,,8
GER,8297,"Steve Kwee","Henrik Masekowitz",HSC,10,8,8,9,35,,9
GER,8528,"Andre Tirre","Jens Steinert",YCS,"DNF 15","DNF 15",6,7,43,,10
GER,8674,"Nick Dose","Andreas Poppe",,12,9,11,10,42,,11
GER,8392,"Georg Mittermayer","Andreas Knuth",LYC,11,10,13,12,46,,12
GER,8365,"Steffen Dülsen","Robert Hanke",VSW,13,"DNF 15",12,11,51,,13
GER,857,"Jan Forster","Daniel Wehden",SGaM,8,"DNF 15","DNF 15","DNF 15",53,,14
