Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,1,4,2,7,7,1
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,2,5,1,8,8,2
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,6,2,4,12,12,3
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,3,3,6,12,12,4
GER,8546,"Dirk Hänsgen","Frank Rupprich",SVPB,5,7,5,17,17,5
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,4,9,7,20,20,6
GER,8572,"Peter Heimbeck","Jakob Andreas",SCLW,"DSQ 18",1,3,22,22,7
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,10,8,12,30,30,8
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,8,11,11,30,30,9
GER,8472,"Göran Berggren","Agnes Berggren",SCLW,11,10,9,30,30,10
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,12,12,8,32,32,11
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,7,15,13,35,35,12
GER,8652,"Sebastian Dörr","Leopold Luh",HSC,"DNC 18",6,10,34,34,13
GER,8210,"Christian Pittack","Anne Fitzpatrick",SCLW,9,14,14,37,37,14
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,14,13,15,42,42,15
GER,7854,"Christoph Demarczyk","Daniel Rieger",SCLW,15,16,17,48,48,16
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,13,"DNF 18",16,47,47,17
