Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8777,Stefan Schollmayer,Martin Eckel,SCMSP,1,2,3,4,1,11,,1
GER,8772,Ronald Roos,Kirsten Roos,SVWu,3,1,1,2,5,12,,2
GER,8625,Alex Cross,Falko Braun,SCR,2,4,2,1,4,13,,3
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,5,9,4,3,2,23,,4
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,4,3,7,5,6,25,,5
GER,8327,Dirk Frank,Stefan Kempf,SCS,6,6,5,8,3,28,,6
GER,8450,Jürgen Feuerhake,Wolfgang Kiefaber,YCSb,9,7,6,7,11,40,,7
GER,8388,Caroline Szesny,Peter Wolffram,FYC,8,8,8,6,DSQ 18,48,,8
GER,7649,Marco Colombo,Björn Witthaus,MBYC,10,5,9,10,7,41,,9
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,16,12,12,9,8,57,,10
GER,8108,Rebecca Strahl,Thorge Holm,BOHYC,11,11,11,11,10,54,,11
GER,8330,Oliver Koch,Markus Klos,SCBO,12,13,10,14,9,58,,12
GER,606*,Karl-Heinz Sax,Norma Müller,SCBO,7,14,13,13,12,59,,13
GER,8414,Johanna Lehr,Alfred Kempf,SCNS,13,15,14,12,13,67,,14
GER,8418,Heike Winchenbach,Christoph Klein,SKBUe,14,10,DNF 18,DNC 18,DNC 18,78,,15
GER,7778,Anne Nehrenberg,Hans Jürgen Nehrenberg,SCBo,15,DNF 18,15,15,14,77,,16
GER,7781,Klaus Spindler,Sieglinde Spindler,SCBO,DNC 18,DNC 18,DNC 18,DNC 18,12,84,,17
