Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8702,"Martin Handel","Till Reckert",SGK,1,1,1,1
GER,8621,"Stephan Schweiger","Jonas Nissen",SCLW,2,2,2,2
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,3,3,3,3
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,4,4,4,4
GER,8570,"Alexander Kodisch","Dominik Hafner",DTYC,5,5,5,5
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,6,6,6,6
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,7,7,7,7
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,8,8,8,8
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,9,9,9,9
GER,8204,"Guido von Walter","Wiebke Waldheim",SCLW,11,11,11,10
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,12,12,12,11
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,13,13,13,12
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,10,10,10,13
GER,8375,"Peter Wackerbauer","Stefan Rosinger",RSB,14,14,14,14
GER,8210,"Christian Pittack","Anne Fitzpatrick",SCLW,15,15,15,15
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,16,16,16,16
