Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8826,"Wolfgang Hunger","Holger Jess",PYC,1,4,2,2,9,,1
GER,8825,"Stefan Köchlin","Axel Priegann",SKF,5,2,3,3,13,,2
GER,8670,"Martin Görge","Rainer Görge",TSVS,3,6,1,8,18,,3
GER,8376,"Volker Niedik","Stefan Heising",BSV,14,3,5,6,28,,4
SWE,8655,"Krister Bergström","Johan Barne",GKSS,11,9,4,5,29,,5
GER,8550,"Tom Gosch","Jörg Müller",ENSFV,8,5,7,12,32,,6
GER,8619,"Jens Findel","Johannes Tellen",KYC,7,10,8,7,32,,7
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,4,1,"DNC 30",1,36,,8
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,6,14,6,11,37,,9
GER,8775,"Tom Swift","Oliver Tessloff",NRV,15,12,12,4,43,,10
GER,8725,"Ludger Huttermann","Rolf Meyer",PYC,12,11,16,9,48,,11
GER,8567,"Michael Rössler","Holger Neuhaus",SKMD,18,8,13,13,52,,12
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,10,23,9,14,56,,13
GER,8675,"Volker Görge","Karsten Morf",TSVS,13,17,11,16,57,,14
GER,8661,"Diethardt Freye","Michael Klügel",BSV,17,24,10,10,61,,15
GER,8749,"Stephan Krause","Michael Krause",HiSC,18,19,14,17,68,,16
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,16,16,21,15,68,,17
GER,8674,"Christian Niefert","Thomas Weber",BSV,21,13,17,21,72,,18
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,11,"DNC 30",15,19,75,,19
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,20,7,"DNF 30",25,82,,20
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,22,25,19,18,84,,21
GER,8609,"Alexander Holzapfel","Stefan Worm",PSVK,24,15,24,23,86,,22
GER,8741,"Hans-Christian Schwieger","Waldemar Schönebeck",NRV,25,21,18,22,86,,23
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,19,20,22,28,89,,24
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,23,"DNC 30",20,20,93,,25
GER,7764,"Jan Sell","Wiebke Gewinn",TUSF,26,22,26,26,100,,26
GER,8227,"Gorch Stegen","Vinka Stegen",WVM,29,26,23,27,105,,28
GER,8664,"Franziska Unkelbach","Kathrin Adelkofer",KYC,28,18,"DNC 30","DNC 30",106,,29
GER,8065,"Jonas von Weidenberg","Stefan Lührs",SCE,30,27,"DNF 30",29,116,,30
