Country,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GER,8665,Jens-Peter Schlomka,,,,,,,,,,1
GER,8747,Jörgen Thumann,,,,,,,,,,2
GER,8674,Christian Niefert,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,6
,,,,,,,,,,,,7
,,,,,,,,,,,,8
