Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 1 Points,Race 2 Points,Race 3 Points,Race 4 Points,Points Total,Place
DEN,8030,Bo Petersen,,,7,1,2,1,"5,7",0,3,0,"8,7",1
DEN,8031,Lars Christensen,,,1,4,1,4,0,8,0,8,16,2
DEN,8108,Jørgen Holm,,,4,3,3,2,8,"5,7","5,7",3,"22,4",3
GER,8075,Hauke Rathjens,,,7,2,5,3,13,3,10,"5,7","31,7",4
FRA,8133,Philippe Boite,,,2,11,4,5,3,17,8,10,38,5
GER,8032,Jörn Erdmann,,,5,10,6,6,10,16,"11,7","11,7","49,4",6
GER,81*,Carsten Hammer,,,8,9,10,8,14,15,16,14,59,7
FRA,8008,Jean Marc Paquotte,,,11,8,8,10,17,14,14,16,61,8
GER,8128,Hartwig Friederichs,,,20,5,12,7,26,10,18,13,67,9
GER,8109,Bernd Kowalzig,,,9,7,18,9,15,13,24,15,67,10
GER,7785,Stefan Pavel,,,13,15,15,11,19,21,21,17,78,11
FRA,8104,Marcel Buffet,,,19,13,11,14,25,19,17,20,81,12
FRA,7847,Francis Doerenbecher,,,14,18,14,15,20,24,20,21,85,13
FRA,8111,Gilbert Vinches,,,18,14,19,16,24,20,25,22,91,14
GER,8121,Dieter Cordes,,,27,6,22,13,33,"11,7",28,19,"91,7",15
DEN,8144,Lars Bøjvad-Jansen,,,6,PM,7,17,"11,7",49,13,23,"95,7",16
GER,8002,Harald Busch,,,10,RET,9,12,16,48,15,18,97,17
BEL,7935,Paul Gorremans,,,35,12,16,20,41,18,22,26,7,18
GER,7781,Andreas Thomsen,,,23,16,20,25,29,22,26,31,8,19
GER,7860,Christof Becker,,,17,28,21,18,23,34,27,24,8,20
SUI,8079,Philippe Grünig,,,12,RET,13,19,18,48,19,25,10,21
GER,8118,Stefan Schollmayer,,,15,19,27,26,21,25,33,32,11,22
GER,7957,Ralf-Joachim Stoll,,,29,17,17,24,35,23,23,30,11,23
GER,7927,Brigitte Preuß,,,21,22,23,23,27,28,29,29,13,24
GER,7732,Dirk Kuhnhenn,,,24,21,24,22,30,27,30,28,15,25
GER,7451,Ewald Brzoska,,,16,23,25,31,22,29,31,37,19,26
GER,8005,Berend Terveer,,,26,20,28,21,32,26,34,27,19,27
GER,7962,Markus Hoppe,,,25,24,30,28,31,30,36,34,31,28
GER,7924,Roland Wiedemann,,,22,27,29,30,28,33,35,36,32,29
GER,1*,Matthias Kuchinke,,,28,25,26,33,34,31,32,39,36,30
GER,7970,Kai Löblein,,,31,26,32,27,37,32,38,33,40,31
GER,6770,Karl-Heinz Hilgers,,,30,29,31,29,36,35,37,35,43,32
NOR,7676,Ben Vaes,,,36,30,34,32,42,36,40,38,56,33
NED,7700,H. W. van Arem,,,34,31,35,34,40,37,41,40,58,34
FRA,7469,Philippe Duez,,,38,32,33,35,44,38,39,41,62,35
GER,7949,Jürgen Feuerhake,,,32,34,36,RET,38,40,42,48,68,36
GER,7549,Engelbert Theban,,,33,35,37,DNC,39,41,43,48,71,37
GER,7942,Martin Kehr,,,37,33,RET,DNC,43,39,48,48,78,38
GER,7834,Jens-Uwe Nolte,,,39,RET,38,DNC,45,48,44,48,85,39
GER,7782,Olaf Doebiitz,,,RET,RET,DNC,RET,48,48,48,48,92,40
GER,5779,Jörg Hinnen,,,RET,DNC,RET,DNC,48,48,48,48,92,41
