Nation,Sail No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Total,Points,Place
GBR,8429,Rob Napier,Matthew Bristow,,2*,1,1,2,6,4,1
GBR,8467,Chris Romans,Brenda Romans,,1,2,4,5*,12,7,2
GBR,8726,Martin Stainsby,Bill Munnery,,4*,4,2,1,11,7,2
GBR,8474,Chris Thorne,Andy Tyas,,3,3,5*,3,14,9,4
GBR,8464,David Lines,Ian Nicholson,,6 DNC*,6 DNC,3,4,19,13,5
