Natio,Sail No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GBR,0,Mike Hart,Richard Tew,,14 DNS*,14 DNS*,1,1,2,4,1
GBR,0,Terry Scutcher,Christian Diebitsch,,1,1,2,3*,3*,4,2
GBR,8495,Dave Peacock,Chris Hewkin,,2,2,3,5*,4*,7,3
GBR,8774,Ian Pinnell,Simon Lake,,14 DNS*,14 DNS*,5,2,1,8,4
GBR,0,Peter Andree,Robert Stallard,,3,4,6*,9*,6,13,5
GBR,0,Jim Berry,Jon Peats,,4,3,9*,7,11*,14,6
GBR,8526,Tim Bird,R.Kenny,,14 DNS*,14 DNS*,4,6,5,15,7
GBR,0,Martin Pavey,Ray Chittock,,5,7*,7*,4,7,16,8
GBR,8305,Tony Power,R.Kerry,,7,6,10*,10*,9,22,9
GBR,0,Matt Toone,Neil Hurrell,,6,5,11,14 RTD*,14 DNS*,22,9
GBR,0,Ian Pavey,Tony Jarman,,9*,9*,8,8,8,24,11
GBR,8532,Tom Clayton,Dennis Hyatt,,10,8,13*,11*,10,28,12
GBR,0,Jerry Andrews,Chris Hurrell,,8,10,12,14 RTD*,14 DNS*,30,13
