Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Netto,Place
GBR,8774,Ian Pinnell,Tim Hancock,,1,2,3,4,1,DNC 30*,41,11,1
FRA,8702,Philippe Boite,Fabrice Toupet,,3,1,1,11*,8,1,25,14,2
GBR,8787,Terry Scutcher,Christian Diebitsch,,4,5*,5,1,2,3,20,15,3
GBR,8556,Mike Hart,Matt Toone,,8*,4,6,2,3,4,27,19,4
GBR,7852,Chris Haworth,Stuart Ashton,,5,6,2,5,9*,2,29,20,5
GBR,8773,Simon Payne,Bill Masterman,,2,3,4,7,15*,5,36,21,6
GBR,8679,Hector Cisneros,Lawrence Crispin,,7,7,11,10,4,DNC 30*,69,39,7
GBR,8495,David Peacock,Andrew Peacock,,17*,14,8,3,10,9,61,44,8
GBR,8460,Martin Goult,Charles Walters,,20*,15,14,8,6,6,69,49,9
GBR,8291,Sam Neal,Peter Burwood,,11,10,7,6,16,DNC 30*,80,50,10
GBR,8726,Martin Stainsby,Bill Mummary,,6,9,17*,14,14,10,70,53,11
GBR,8552,Russell Short,Andrew Short,,9,12,15*,13,13,8,70,55,12
GBR,8535,Francis Cram,Dougal Cram,,18,21*,9,17,5,7,77,56,13
GBR,8685,Michael Sims,Richard Sims,,12,11,13,15*,11,12,74,59,14
GBR,8708,Martin Wedge,Andy Williams,,15,18,26*,9,7,11,86,60,15
GBR,8694,Andy Williams,Andy Edmonds,,DNC 30*,8,10,12,12,DNC 30,102,72,16
FRA,8748,Gilles Carvallo,Claire Carvallo,,23,16,12,24*,24,14,113,89,17
GBR,8510,Andrew Thorp,Nick Thorp,,16,19*,19,19,19,16,108,89,18
GBR,8672,Miles Odell,Andrew Streeter,,10,13,23,20,DNC 30*,DNC 30,126,96,19
GBR,8474,Chris Thorne,Andy Tyas,,19,22*,16,21,22,18,118,96,20
GBR,8705,Tim Marlow,Simon Lake,,14,24,22,22,18,DNC 30*,130,100,21
GBR,8678,Jim Berry,Richard Berry,,22,20,29*,26,23,13,133,104,22
GBR,8745,Chris Pearson,Frank Rainsborough,,13,17,18,DNC 30*,DNC 30,DNC 30,138,108,23
FRA,802*,Buand,Commeil,,25,23,27,18,DNC 30*,15,138,108,24
GBR,8305,Tony Power,Richard Kerry,,21,25,24,27*,21,17,135,108,25
GBR,8625,Mel Newman,Alex Cull,,DNC 30*,27,20,16,17,DNC 30,140,110,26
GBR,8231,Ian Pavey,Richard Trotter,,24,DNC 30*,21,23,20,DNC 30,148,118,27
GBR,8532,Tom Clayton,Dennis Hyatt,,DNC 30*,26,28,28,25,19,156,126,28
GBR,8540,Tim Scarisbrick,Ian Swainston,,DNC 30*,DNC 30,25,25,DNC 30,DNC 30,170,140,29
