Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Points,Place
GBR,8495,David Peacock,Chris Hewkin,Burton SC,1,4,1,6,1
GBR,8429,Rob Napier,Charlie Walters,Hayling Island SC,3,3,4,10,2
GBR,8493,Chris Dando,Donald Sloan,Stone SC,4,7,3,14,3
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley SC,12 DSQ,1,2,15,4
GBR,8774,Richard Lord,Simon Lake,GWSC,2,8,7,17,5
GBR,8072,Michael Sims,Richard Sims,Burton SC,12 DNC,2,5,19,6
GBR,8591,David Bell,Pete Ward,Burton SC,6,9,6,21,7
GBR,8474,Chris Thorne,Andy Tyas,Portishead,5,10,8,23,8
GBR,8540,Tim Scarisbrick,Ian Swainston,Hayling Island SC,12 DNF,5,10,27,9
GBR,8678,Jim Berry,Rich Berry,Chew Valley,12 DSQ,6,9,27,10
GBR,8380,Chris Joyner,Paul Moffitt,Lyme Regis SC,12 DNC,12 DNF,11,35,11
