Nation,Boat,Helmsman,,,Grafham,Yarmouth,Hastings,Hayling,Felixstowe,Nationals,Points,Netto,Place
GBR,7268,P. White,,,2,25,12,6,1,2,156,15,1
GBR,7327,P. Colclough,,,1,56,1,11,60,1,797,17,2
GBR,7275,P. Milanes,,,7,46,8,1,11,5,275,26,3
GBR,7323,J. Loveday,,,5,1,43,9,3,4,549,30,4
GBR,7182,Neil Willmott,,,11,3,5,10,3,6,159,39,5
GBR,7313,M. Lawton,,,15,31,2,3,17,11,245,39,5
GBR,7277,D. White,,,3,10,4,5,2,8,108,42,7
GBR,7110,J. Patterson,,,24,8,6,2,17,11,256,51,8
GBR,7170,Mike Hattemore,,,19,7,11,7,52,11,418,55,9
GBR,7301,David Pitman,,,4,3,7,18,60,20,595.75,68,10
GBR,6878,L. Fryer,,,20,5,3,36,60,15,675,72,11
GBR,7106,David Clark,,,22,27,13,35,5,8,337,79,12
GBR,7317,R. Lord,,,81,20,10,4,14,23,680,94,13
GBR,6782,R. Trickett,,,9,33,40,23,7,10,582,97,14
GBR,6958,M. Platts,,,37,2,28,19,9,16,390,100,15
GBR,6977,C. Jarvis,,,14,56,20,15,60,14,939,121,16
GBR,7272,David Revill,,,26,6,33,37,6,21,484,121,16
GBR,6844,Ricky Willows ,,,28,56,18,69,16,18,894,127,18
GBR,7167,K. Brackwell,,,47,31,9,13,25,39,477,128,19
GBR,7141,S. Lambourne,,,30,29,18,17,56,28,712,163,20
GBR,6688,D. Treloar,,,11,13,43,20,26,26,752,164,21
GBR,6943,M. Elkington,,,9,29,43,8,24,98,1125,168,22
GBR,6889,S. France,,,21,16,23,32,30,28,469,190,23
GBR,7310,M. Wincer,,,33,17,27,22,27,25,479,180,23
GBR,6960,T. Marlow,,,60,56,24,16,60,30,1133,197,25
GBR,6851,Julian Hereward,,,28,56,43,40,32,16,1111,200,26
GBR,7051,J. Hope,,,25,19,16,30,29,37,478,203,27
GBR,7368,G. Thomas,,,16,56,43,69,15,26,1253,203,27
GBR,7217,R. Deane,,,49,12,14,32,60,50,910,218,29
GBR,7270,I. Coleman,,,81,15,17,26,28,90,897,223,30
