Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPs / EMK,1,1,-2,2,1,1,8,6,1
FIN,8768,Jukka Nieminen,Antti Salonen,SP / HYP,2,2,4,1,2,(11.0 DNC),22,11,2
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,3,3,1,-5,5,4,21,16,3
FIN,8678,Eino Laitinen,Kaarle Kauppinen,MSVK,5,-6,5,3,4,2,25,19,4
FIN,46*,Sampsa Hyysalo,Jussi Kuosa,,-7,5,3,7,3,3,28,21,5
FIN,8659,Kira Maisniemi,Matti Dillemuth,,4,7,7,-8,6,5,37,29,6
FIN,8466,Hannu Pöyry,Juha Pietilä,VVK / OTPS,8,4,6,6,7,(11.0 DNC),42,31,7
FIN,8923,Michael Wolontis,Ville Malm,NJK,6,8,9,4,8,(11.0 DNC),46,35,8
FIN,8127,Kare Tikka,Juha Nurmela,V-71,10,9,8,(11.0 DNC),11.0 DNC,11.0 DNC,60,49,9
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,9,(11.0 DNF),11.0 DNC,9,11.0 DNF,11.0 DNC,62,51,10
