Nation,SailNo,Helm,Crew,Club,Tero Lahti,Naantali,Helsinki,Espoo,Pori,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,SP/HYP,100,100,88,90,100,478,390,1
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPS,,80,100,100,86,366,366,2
FIN,8678,Eino Laitinen,Thomas Castren/Kaarle Kauppinen/Teemu Heljo,MSVK/ESF,91,70,94,70,43,368,325,3
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,82,50,82,80,57,351,301,4
FIN,46*,Sampsa Hyysalo,Jussi Kuosa/Tapani Elovirta,HSK,73,90,76,60,,299,299,5
FIN,8962,Hannu Pöyry,Juha Pietilä,VVK,64,40,41,40,29,213,185,6
FIN,8127,Raimo Raita/Kare Tikka,Juha Nurmela,Vene-71,45,60,24,20,,149,149,7
FIN,7784,Thomas Held,Timo Vennonen,BSS/HSK,55,,65,,,119,119,8
FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,,,59,50,,109,109,9
FIN,8585,Henri Räty,Joonas Björkman / Juha Nurmela,N,,20,,,71,91,91,10
FIN,8430,Jouni Valli,Iiro Jaakonsaari,N/MPS,18,30,29,,,78,78,11
FIN,8923,Michael Wolontis,Peter von Koskull/Sami Jokinen/Ville Malm,NJK,36,,6,30,,72,72,12
FIN,7922,Olle Martonen,Mikael Nylund,WSF,,,71,,,71,71,13
FIN,8873,Ari Peltoniemi,Tapani Elovirta,HSK,9,,35,10,14,69,69,14
FIN,7956,Jouni Liljander,Jukka Saren,NJK/LP,27,10,18,,,55,55,15
FIN,8736,Kare Tikka,Teemu Heljo,N,,,53,,,53,53,16
FIN,8320,Tatu Miettinen,Ville Tarvo,LPS,,,47,,,47,47,17
FIN,8582,Anssi Kienanen,Kaarle Kauppinen,HSS,,,12,,,12,12,18
