,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Platzierungen 9,Punkte,Pl.
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,1,1,1,4,6,3,1,1,1,,1
SUI,8614,Florian Stauffer,Valery Jacot,CVN,3,3,4,1,2,6,10,4,2,,2
GER,8975,Alexander Holzapfel,Alain Karadjian,PSVK,2,2,8,3,4,14,2,2,4,,3
FRA,8536,Oliver Ponthieu,Harald Van Exem,,4,5,9,5,8,7,3,3,3,,4
FRA,9056,Alain Tosello,Yves Niddam,,5,8,5,10,5,4,5,5,DNF,,5
FRA,8847,Muriel Jeanne,Franck Agrapart,CNHS,DNF,13,2,9,1,1,13,11,9,,6
FRA,8402,Loic Bleuez,Frederic Roucayrol,,DSQ,9,10,8,3,2,16,6,8,,7
FRA,9067,Bastian le Morvan,Gilles Carvallo,,8,4,11,11,15,13,6,7,5,,8
FRA,9098,Michael Delsemme,Raphael Lebouche,ST Tropez,10,7,12,7,7,9,9,9,7,,9
FRA,8362,Mathieu Glade,Olivier Magret,,12,15,3,6,10,8,8,13,11,,10
FRA,8704,Christophe Falon,Lawrence Banahan,,9,6,17,17,17,17,7,8,6,,11
FRA,8773,Philippe Markt,Delphine Markt,,7,14,15,15,11,10,14,12,10,,12
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,DNF,DNF,14,12,9,5,4,DNF,DNF,,13
FRA,8687,Christian Simonnot,Jean Philippe Hermieu,,6,11,6,14,14,15,DNF,DNF,DNF,,14
FRA,8564,Antoine Ratouis,Alexandre Ortega Silve,,11,12,7,13,13,11,DNF,DNF,DNF,,15
FRA,9024,Kleber Valery,Claude Gachet,YCG,DNF,DNF,13,2,12,12,12,DNF,DNF,,16
FRA,9012,Yann Ducreux,Melissa Ferrois,,DNF,10,16,16,16,16,15,DNF,DNF,,17
FRA,4664,Denis David,Gilles Casanova,,DNF,16,19,19,19,19,11,14,DNF,,18
FRA,9014,Louis Gibert,Edith Castillon,,10,20,18,18,18,18,17,17,20,,19
