Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Crew Vlub,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,1,[6],3,2,LES GLENANS,12,6,1
SUI,8954,Caroline Jacot,Philippe Jacot,CV NEUFCHATEL SUI,3,3,1,[4],,11,7,2
GER,8975,Alexander Holzapfel,Tobias Neumeyer,POST SPORTVEREIN KOB,4,1,5,[OCS 31],,41,10,3
FRA,8847,Muriel Jeanne Agrapart,Franck Agrapart,C N HAUTE SEINE,7,2,[14],3,C N HAUTE SEINE,26,12,4
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH,2,9,2,[10],SNPH,23,13,5
SUI,9060,Catherine Houriet,Giles Donzé,YC GENEVE SUI,[11],7,6,1,,25,14,6
FRA,8820,Thibault Di Pède,Fabrice Toupet,CV SEINE PORT,6,10,4,[11],CV SEINE PORT,31,20,7
FRA,8900,Serge Gubri,Dominique Keraudren,CV SEINE PORT,9,5,[16],6,C N HAUTE SEINE,36,20,8
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF,5,[15],15,7,YC GRENOBLE CHARA.,42,27,9
FRA,8556,Killian Zimmowitch,Jerome Zimmowitch,CNBR,8,8,[18],14,CNBR,48,30,10
FRA,8729,Xavier Broise,Jordane Lafortune,SNPH,12,[14],9,9,CV SEINE PORT,44,30,11
FRA,8705,Jean-Claude Soinard,Thierry Muniglia,CVML,16,[19],12,5,CVML,52,33,12
BEL,9066,Geert de Pauw,Jourquin Koen,NWV BEL,15,[16],7,12,,50,34,13
FRA,8716,Aline Martin,Aristide Gasquet,CV SEINE PORT,10,13,11,[OCS 31],CV SEINE PORT,65,34,14
FRA,9099,Valery Jacquot,Alain Karadjian,CVNEUCHATEL SUI,[20],4,13,18,CVSQ,55,35,15
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML,18,11,10,[19],CVML,58,39,16
FRA,9019,Véronique Brenet,Jean-Pierre Peter,ACAL,13,[25],19,8,ACAL,65,40,17
FRA,8969,Thomas Pype,Romain Delmotte,CV VALENCIENNES,[21],12,8,21,CV VALENCIENNES,62,41,18
FRA,8509,Bastian le Morvan,Benoit Tellier,ASPTT TROYES,19,17,[24],15,CV VALENCIENNES,75,51,19
FRA,9024,Kleber Valery,Grégory Paszkowski,YC GRENOBLE CHARA.,[24],22,17,13,YC GRENOBLE CHARA.,76,52,20
FRA,9031,Philippe Lucienne,Vivien Lucienne,ABC  VOILE,17,18,[20],17,ABC  VOILE,72,52,21
FRA,9067,Dominique Rouanne,Bruno Vaniekaut,YC DE CAVALAIRE,14,20,23,[DNS 31],CV VALENCIENNES,88,57,22
FRA,8521,Valentin Guerin,Alexandre Guerin,CV VALENCIENNES,[DNF 31],21,26,16,CV VALENCIENNES,94,63,23
BEL,9064,Philippe Vandersteen,Jean Christophe Plateaux,SNEH BEL,22,[23],22,22,CV VALENCIENNES,89,66,24
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,VIRTUAL REGATTA YC,23,[27],21,24,SNT,95,68,25
FRA,4479,Jean-Charles Cadoret,Pascal Coquelet,USMM SECTION VOILE,25,24,[27],20,USMM SECTION VOILE,96,69,26
FRA,8748,Samuel Carvallo,Jean-Yves Chauleau,C N HAUTE SEINE,[26],26,25,23,C N HAUTE SEINE,100,74,27
FRA,7190,Cyrille Girondo,Cristele Girondo,SRC SUD OISE,27,28,28,[DNS 31],SRC SUD OISE,114,83,28
FRA,8770,Roger Chabaud,Jean-Pierre Noclain,CV VALENCIENNES,[DNS 31],DNF 31,DNF 31,DNF 31,CV VALENCIENNES,124,93,DNA
FRA,7940,Denis Gilles,Noëlle Henrotay,BEL,[DNF 31],DNF 31,DNF 31,DNF 31,,124,93,DNA
