Nation,Boat No,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Crew Club,points,place
FRA,9019,Brenet Veronique,Peter Jean-Pierre,A C D'ALSACE LORRAIN,2,5*,3,1,A C D'ALSACE LORRAIN,6,1
SUI,9060,Houriet Catherine,Conze Gil,YACHT CLUB DE GENEVE,1,6*,5,3,M,9,2
FRA,8847,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,6,3,7*,2,C N HAUTE SEINE,11,3
FRA,4479,Paquotte Jean-Marc,Beltzung Alain,A C D'ALSACE LORRAIN,8,1,6,10*,A C D'ALSACE LORRAIN,15,4
FRA,8909,Francis Doerenbecher,Wolff Philippe,C N DE SCIEZ,5,20 OCS*,2,8,A C D'ALSACE LORRAIN,15,5
FRA,9081,Lehmann Robert,Edel Bernard,A C D'ALSACE LORRAIN,3,8,12*,5,A C D'ALSACE LORRAIN,16,6
BEL,,De Pauw Geert,Jourquin Koen,NWV BEL,11,2,4,20 OCS*,M,17,7
FRA,8484,Philippe Blanchard,Duplouy Florent,A C D'ALSACE LORRAIN,7,4,9*,6,A C D'ALSACE LORRAIN,17,8
FRA,8870,Silvestre Christian,Martin Aline,Y C ILE DE FRANCE,4,20 OCS*,1,20 DNF,C V SEINE-PORT,25,9
FRA,8770,Jean-Pierre Noclain,Chabaud Roger,C V VALENCIENNES,14*,13,8,4,C V VALENCIENNES,25,10
FRA,8969,Pype Thomas,Delmotte Romain,C V VALENCIENNES,20 OCS*,9,11,7,C V VALENCIENNES,27,11
FRA,9044,Nesseler Pierre,Charlotte Nesseler,ST GEORGES VOILES,10,7,15*,11,ST GEORGES VOILES,28,12
GER,8052,Feuerhacke Jürgen,Nehrenberg Anne,YACHT CLUB SAARBRUCK,12*,11,10,9,F,30,13
BEL,9064,Vandersteen Phil,Guerin Alexandre,BEL,9,12,14,20 OCS*,C V VALENCIENNES,35,14
GER,8473,Christoph Böckle,Sarah Abitol,SSCM GER,13*,10,13,12,F,35,15
GER,6610,Krumm Stefan,Krum Uwe,SSC MEISSENHEIM GER,16,15,19*,14,M,45,16
FRA,8699,Vaniekaut Bruno,Guerin Valentin,C V VALENCIENNES,17*,14,16,15,C V VALENCIENNES,45,17
GER,8691,Harald König,Michael Müller,SRVL SASBACH GER,18*,17,17,13,M,47,18
GER,,Hütten Dirk,Buschhuter Stephan,SEGELGEMEINSCHAFT RI,15,16,18,20 DNF*,M,49,19
