Nation,Boat NO,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew Club,points,place
FRA,9075,Philippe Boite,Galaup Baptiste,CVSQ,1,1,1,1,1,1,1,S N P H,6,1
FRA,8820,Thibault Di Pede,Toupet Fabrice,C V SEINE-PORT,5,2,4,4,11,2,2,C V SEINE-PORT,19,2
FRA,8870,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,3,3,2,9,2,4,5,YC Grenoble Chara.,19,3
FRA,,Le Roy Riwanon,Karadjian Alain,ASN QUIBERON,4,4,3,2,4,6,8,CVSQ,23,4
FRA,8847,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,2,7,7,6,3,5,4,C N HAUTE SEINE,27,5
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,6,6,5,3,5,3,7,C V BORDEAUX C M,28,6
FRA,8509,Le Morvan Bastian,Gougeon Matthieu,ASPTT TROYES,7,5,10,7,6,7,10,CVML,42,7
FRA,,François de Lisle,Lafortune Geraud,C N FERRET,8,8,OCS,5,8,8,12,CN PAYS AURILLAC,49,8
FRA,8729,Lafortune Jordane,Brillaud Herve,C V SEINE-PORT,12,9,9,12,9,11,3,C N FERRET,53,9
FRA,8687,Hermieu Jean Philippe,Simonnot Christian,U S TROPEZIENNE,13,11,8,10,10,12,6,Y C TOULON,57,10
FRA,,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,10,13,6,11,12,10,11,S N O NANTES,60,11
FRA,,Nicolas Patrick,Nicolas Morgane,SNOS VOILE,9,10,11,13,DNF,9,9,SNOS VOILE,61,12
FRA,,Martin Aline,De Monteil David,C V SEINE-PORT,11,12,OCS,8,7,13,13,C V SEINE-PORT,64,13
FRA,,Le Morvan Vincent,Gasquet Aristide,ASPTT TROYES,14,14,12,14,DNF,14,14,C V SEINE-PORT,82,14
FRA,,Teyssier Maurice,Teyssier David,C V SANGUINET,15,15,13,15,DNF,15,15,C V SANGUINET,88,15
