Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,2,1,[4],2,1,3,LES GLENANS,13,9,1
FRA,8716,Aline Martin,Nicolas Martin,CV SEINE PORT,1,6,3,1,[9],2,CV SEINE PORT,22,13,2
FRA,8900,Serge Gubri,Ludovic Roblin,CV SEINE PORT,6,[10],2,3,2,4,CVML,27,17,3
FRA,9031,Philippe Lucienne,Vivien Lucienne,ABC  VOILE,3,9,1,4,6,[OCS 18],ABC  VOILE,41,23,4
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF,9,5,[16],5,8,1,YC GRENOBLE CHARA.,44,28,5
GER,8975,Alexander Holzapfel,Dirk Ipach,GER,4,[15],5,11,5,6,D.S.V.              ,46,31,6
FRA,8820,Thibault Di Pède,Fabrice Toupet,CV SEINE PORT,8,8,[11],8,4,5,CV SEINE PORT,44,33,7
FRA,9099,Gerard Daugey,Alain Karadjian,CVML,5,7,6,12,[13],7,CVSQ,50,37,8
FRA,9068,François de Lisle,Emmanuel Boyer,CN FERRET,[16],2,9,14,7,11,CVBCM,59,43,9
FRA,8509,Bastian le Morvan,Benoit Tellier,ASPTT TROYES,13,4,7,10,[15],9,CV VALENCIENNES,58,43,10
FRA,8729,Adam Manuelle,Jordane Lafortune,SRH,7,12,8,6,[16],10,CV SEINE PORT,59,43,11
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH,11,[16],15,7,3,8,SNPH,60,44,12
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML,10,3,10,[15],12,12,CVML,62,47,13
FRA,8683,Antoine Lafortune,Geraud Lafortune,CV SEINE PORT,15,11,12,9,11,DNF 18,CN PAYS AURILLAC,76,58,14
FRA,8321,Philippe Duquesne,Laurent Duquesne,SNO NANTES,[OCS 18],14,14,OCS 18,10,13,LA ROCHELLE NAUTIQUE,87,69,15
FRA,9050,Riwanon le Roy,Jean-Claude Ancelot,ASNQ,14,13,13,13,DNS 18,DNC 18,ASNQ,89,71,16
FRA,9044,Pierre Nesseler,Nicolas Nesseler,ST GEORGES VOILES,12,[17],17,16,14,14,CNBR,90,73,17
