,SAIL,Helm,Crew,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,TOTAL,,,,,NET,POS
USA,8830,Chris Behm,Andrew Buttner,1,4*,1,2,1,1,1,1,1,13,MA,Westwood,,,9,1
USA,8722,Macy Nelson,Parry Barclay,4*,1,2,3,2,2,4,4,2,24,,,,,20,2
CAN,8264,Jeff Boyd,Steve Adolph,2,2,4,1,4,5*,2,3,4,27,ON,Kingston,KYC,,22,3
USA,8012,Henry Amthor,Dustin Romey,6*,5,3,4,3,3,3,2,3,32,VA,Hampton,HAMPTON,YC,26,4
CAN,8696,Deborah Ashby,David Adams,3,8*,5,5,5,4,5,5,5,45,ON,Ottawa,NSC,,37,5
CAN,8410,Clarissa Bush,Chris Gillies,8,3,11*,9,10,6,7,8,8,70,QC,gatineau,NSC,,59,6
USA,8194,Thomas Kivney,Thomas Kivney,7,6,6,10,6,9,6,9,11*,70,MA,Hingham,HYC,,59,7
CAN,8610,Shona Weldon,Michael Wonnaco,10,9,9,6,8,12,8,13*,7,82,,NSC,,,69,8
CAN,8535,Marg Hurley,Jon Preston-Thom,5,10,7,12,13*,7,9,7,13,83,ON,Ottawa,NSC,,70,9
USA,8850,Douglas Watson,Gabriel Watso,9,7,10,8,11,11,12*,10,9,87,,WEST,RIVER,SAIL,75,10
CAN,7099,Christian Dechamplain,Jeremy,16 DNF*,11,14,7,9,10,10,11,12,100,,NSC,,,84,11
CAN,7605,Renka Gesing,Adam Gesing,16 DNF*,16 DNF,16 DNF,11,7,8,16 DNF,6,6,102,ON,Tecumseh,SPSC,,86,12
USA,8351,David Burchfiel,Jay Smith,13,12,8,16 DNF*,16 DNF,16 DNF,16 DNF,12,10,119,NC,Raleigh CSC,,,103,13
CAN,8587,Pat Ware,Nick Ware,12,14,12,16 DNF*,12,13,16 DNF,14,16 DNF,125,ON,Kingston,,,109,14
CAN,8910,Alison Janidlo,Tom Janidlo,11,13,13,16 DNF*,16 DNF,14,11,16 DNF,16 DNF,126,ON,Ottawa,NSC,,110,15
