RSA,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,TYC,1,-4,1,1,1,8,4,1st
RSA,8486,Ricky Robinson,Brennan Robinson,RNYC,2,3,-5,3,2,15,10,2nd
RSA,8719,Alexander Ham,Warwick Ham,USYC,-5,2,3,2,4,16,11,3rd
RSA,9063,James Largier,Richard HuttonSquire,TSC,4,1,2,5,-6,18,12,4th
RSA,,Rae David,Chris Gough,RCYC,3,-5,4,4,3,19,14,5th
RSA,8948,Anthony Parker,Ferdinand Holm,GLYC,6,6,-7,6,5,30,23,6th
RSA,4437,Sean Ballantyne,De Wet,VYC,-9,8,6,8,8,39,30,7th
RSA,8537,Kevin Foreman,Adam vd Ploeg,IYC,7,10,(12 DNC),7,7,43,31,8th
RSA,7493,JayD'Engle,Marco Tobin,FBYC,8,9,8,9,(12 DNC),46,34,9th
RSA,8471,Matt Whitehead,Sean van Rensburg,UCTYC,10,7,(12 DNC),12 DNC,12 DNC,53,41,10th
RSA,8091,Grant Ballantyne,Evert Groenewald,VYC,(12 DNC),12 DNC,12 DNC,10,9,55,43,11th
