Country,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Sum,Points,Platz
FRA,8909,Francis Doerenbecher,Philippe Wolff,CNS,2,3,[4],2,1,12,8,1
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,[4],4,3,1,2,14,10,2
GER,8279,Michael Becker,Florian Hassdenteufel,SCNS,3,[12],1,4,6,26,14,3
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,[5],1,5,3,5,19,14,4
BEL,9066,Geert de Pauw,Koen Jourquin,NWVN,1,5,[14],6,3,29,15,5
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,7,2,6,[11],7,33,22,6
FRA,8484,Philippe Blanchard,Florent Duplouy,ACAL,6,7,7,[9],4,33,24,7
FRA,9019,Robert Lehmann,Bernard Edel,ACAL,15,6,2,7,[DNC 16],46,30,8
GER,8327,Dirk Frank,Armin Hoechst,SCS,10,8,[12],5,8,43,31,9
GER,8751,Andreas Roller,Maximilian Roller,Hei SC,[11],11,10,8,9,49,38,10
BEL,8688,Bernard Blondy,Roger Chabaud,CVA,8,9,11,[12],10,50,38,11
FRA,8687,François Fischer,Jerome Delvaux,CVdP,9,[13],8,10,11,51,38,12
FRA,8895,Paul Bendiyan,Georges Bendiyan,ASCL,12,10,9,[14],12,57,43,13
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,13,[14],13,13,13,66,52,14
GER,8478,Holger Medtke,Bjoern Simmes,SSCM,14,[15],15,15,14,73,58,15
