,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,3,1,6,4,1,3,1,,1
FRA,9024,Claude Gachet,Kleber Valery,YCG,2,5,3,2,23,4,6,,2
FRA,8716,Aline Martin,Matthieu Gougeon,,7,7,2,13,7,1,2,,3
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,5,3,5,11,5,6,5,,4
FRA,8515,Nicolas Croce,Florian Facheux,,6,4,4,7,4,11,4,,5
FRA,8902,Philippe Boite,Fabrice Toupet,CVM,1,2,1,1,2,DNC,DNC,,6
FRA,8729,Alain Tosello,Yves Niddam,,9,8,14,8,3,2,7,,7
FRA,7929,Jean Philippe Hermieu,Christian Simonnot,St Tropez,4,6,DNC,3,12,8,13,,8
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,DNC,DNF,7,6,10,5,3,,9
FRA,8899,Alain Karadjan,Julien Letissier,,10,12,8,9,13,10,9,,10
ITA,8743,Cesare Georgetti,Marco Giraldi,,18,11,12,5,8,12,11,,11
FRA,8748,Muriel Jeanne,Frank Agrapart,CNHS,8,16,16,12,6,7,10,,12
FRA,8353,Benjamin Roulant,Clive Davis,,12,DNF,9,10,11,9,8,,13
FRA,9010,Gilles Carvallo,Jordane Lafortune,CNHS,16,13,13,15,9,15,20,,14
FRA,8402,Frederic Roucayrol,Loic Bleuez,,13,17,10,19,16,14,12,,15
FRA,8773,Philippe Markt,Delphine Markt,,11,10,20,OCS,17,13,15,,16
FRA,8002,Jean-Philippe Artielle,Virginie Auger,,20,9,19,14,14,19,18,,17
BEL,8536,Harald Van Exem,Thomas de Greef,,14,14,11,18,19,20,117,,18
ITA,8944,ita Manzi,Alfredo Annese,,22,DNF,21,16,15,15,14,,19
FRA,4664,Denis David,Denis Dubruel,,17,18,17,22,20,17,16,,20
FRA,6245,Lawrenc Banahan,Nicolas Clausteres,,19,15,22,21,18,21,21,,21
FRA,8008,Vincent Dewaele,Rose Marie Savio,,DNC,DNF,15,22,21,18,21,,22
FRA,8704,Elisabeth Neidhart,Martin Aline,,15,DNF,18,17,21,DNC,DNC,,23
FRA,8623,Dominique Rouanne,Virginie Laurrent,,21,DNF,DNF,DNF,DNF,DNF,DNF,,24
