Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Boat Name,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVSQ/SRH,2,[4],1,3,3,1,2,,16,12,1
FRA,,Aline Martin,Fabrice Toupet,CV SEINE PORT/CVSQ,5,3,6,[13],1,3,1,,32,19,2
FRA,9067,Bertrand Loyal,Laurent Nevo,C N MESCHERS/LA ROCHELLE NAUTIQUE,7,[9],7,1,2,2,3,,31,22,3
FRA,,Nicolas Martin,Julien Lafortune,CV SEINE PORT/CV SEINE PORT,1,7,[9],6,4,4,5,,36,27,4
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF/YC GRENOBLE CHARA.,4,5,[11],2,6,10,9,,47,36,5
FRA,9031,Philippe Lucienne,Vivien Lucienne,C N C ST OUEN/C N C ST OUEN,[12],11,2,7,10,6,6,,54,42,6
FRA,8900,Serge Gubri,Thibault Di Pède,CV SEINE PORT/CV SEINE PORT,3,2,[18],14,9,5,11,,62,44,7
FRA,8898,Pierre Muh,Dominique Keraudren,CV SEINE PORT/CV SEINE PORT,9,6,3,4,[27],11,15,,75,48,8
FRA,8683,Antoine Lafortune,Geraud Lafortune,CV SEINE PORT/CV SEINE PORT,8,1,8,9,[16],14,12,,68,52,9
FRA,,Robert Ronnback,Jordane Lafortune,FIN/CV SEINE PORT,10,8,5,11,7,[15],14,,70,55,10
FRA,,Etienne Boyer,Emmanuel Boyer,CVBCM/CVBCM,14,[23],4,12,5,13,8,,79,56,11
FRA,9024,Claude Gachet,Kleber Valery,YC GRENOBLE CHARA./YC GRENOBLE CHARA.,[RAF 35],13,12,10,12,7,4,,93,58,12
FRA,,Hervé de Kergariou,Xavier deTappe,SNO NANTES/AS CHEMINOTS ROCHEL,6,[26],19,8,13,9,7,,88,62,13
FRA,9068,François de Lisle,Hervé Brillaud,CN FERRET/CN FERRET,11,12,15,[24],17,8,10,,97,73,14
FRA,,Matthieu Devaux,Philippe Dubuc,SR FECAMP/SR FECAMP,15,[25],16,19,8,12,13,,108,83,15
FRA,8995,Jean-Guy Puissant,Bernard le Guen,CVLTP/CV JOUE LES TOURS,[DNF 35],18,14,15,14,16,17,,129,94,16
FRA,9045,Nicolas Guillou,Alain Ferec,SNPH/SNPH,[DSQ 35],24,10,5,19,18,20,,131,96,17
FRA,8515,Nicolas Croce,Florian Faucheux,CNCP/CNCP,13,15,13,16,11,[DNS 35],DNC 35,,138,103,18
FRA,,Amaury Fourcadet,Vincent Fertin,BLAYE NAUTIQUE/YC CLASSIQUE,19,16,23,[25],18,22,16,,139,114,19
FRA,,Gérard Tilly,Xavier Tilly,ASN PERROS GUIREC/ASN PERROS GUIREC,17,[29],21,17,15,23,25,,147,118,20
FRA,8885,Jean-Baptiste Dupont,Jean-Claude Ancelot,CV PARIS/SNO NANTES,18,14,25,20,23,[26],21,,147,121,21
FRA,8969,Thomas Pype,Jean-Pierre Noclain,CRNG DE GRANVILLE/CV VALENCIENNES,[26],22,20,21,20,19,23,,151,125,22
FRA,8949,Philippe Duquesne,Laurent Duquesne,SNO NANTES/LA ROCHELLE NAUTIQUE,21,10,24,22,[32],25,24,,158,126,23
FRA,,Elisabeth Neidhart,Matthieu Gougeon,CVML/CVML,22,19,17,[28],25,20,27,,158,130,24
FRA,8950,Eric Quémard,Bertrand Lapeyre,CV PARIS/SNPH,16,21,26,26,[28],24,19,,160,132,25
BEL,8486,Pascal Viaud,Fabrice Bouton,LA ROCHELLE NAUTIQUE/LA ROCHELLE NAUTIQUE,27,17,22,23,[30],28,18,,165,135,26
FRA,8980,Michel Boiry,Marc-Henri Guitteny,CV PARIS/C N PIRIAC S/MER,24,34,[DNS 35],27,26,17,22,,185,150,27
FRA,8699,Jean-Philippe Ducros,Stanislas Rault,CVML/CVSQ,[DSQ 35],28,27,18,24,27,29,,188,153,28
FRA,,Daniel Nouraud,Christophe Troger,LA ROCHELLE NAUTIQUE/CN ROCHEFORTAIS,25,[31],28,31,21,21,30,,187,156,29
FRA,8688,Bernard Blondy,Roger Chabaud,CV VALENCIENNES/CV VALENCIENNES,29,20,29,[30],22,30,28,,188,158,30
FRA,8567,Pierre-Jérôme Coulmin,Vincent Peter,WIND 14/WIND 14,20,27,31,[32],31,31,26,,198,166,31
FRA,,Dominique Picou,Pierre Rivon,LA ROCHELLE NAUTIQUE/LA ROCHELLE NAUTIQUE,23,33,30,29,29,[DNS 35],DNC 35,,214,179,32
FRA,,Eric Kopka,Alain Renoux,C V ANGOULEME/C V ANGOULEME,28,30,32,[33],33,32,31,,219,186,33
FRA,,Thierry Daguzan,Arnaud Poirier,LA ROCHELLE NAUTIQUE/EV ROCHELAISE,30,32,33,[DNS 35],DNS 35,29,32,,226,191,34
