licences,,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew club,points,place
GER,,Morten Bogacki,Holger Jess,KYC/DYC GER,3,1,1,1,1,1,3,1,,9,1
AUS,,Michael Quirk,Simon Reffold,RPEYC AUS,2,3,3,24,4,2,2,4,,20,2
FRA,,Loyal Bertrand,Nevo Laurent,C N MESCHERS,4,2,14,2,5,4,7,3,S R ROCHELAISES,27,3
GBR,,Ian Pinnell,,HISC GBR,1,4,7,8,3,14,14,7,,44,4
FRA,,Philippe Boite,Benjamin Thomas,CVSQ,12,5,6,9,9,5,6,15,S R HAVRE,52,5
SUI,,Cedric Bart,Laurent Grob,CNB SUI,10,6,2,19,10,12,5,10,,55,6
GBR,,Andy Smith,Tim Needham,NOTTS COUNTY SC GBR,5,8,20,18,8,3,1,17,,60,7
GER,,Alexander Holzapfel,Stefan Worm,,11,7,9,5,13,7,8,14,,60,8
GBR,,Chris Lewns,Dan Parsons,WHITSTABLE GBR,9,9,10,4,14,9,9,DNF,,64,9
DEN,,Nikolaj Hoffmann Buhl,Henrik Buhl,STETTEN BACHKLUB DEN,7,DPI,5,13,7,8,24,8,,72,10
SUI,8569,René Betschen,Lionel Hollinger,CNB SUI,6,16,19,20,6,6,10,11,,74,11
FRA,,Gubri Serge,Thibault Di Pede,C V SEINE-PORT,18,13,4,7,26,29,19,9,C V SEINE-PORT,96,12
GBR,,Rus,Lafortune Geraud,GBR,15,12,16,14,12,15,13,19,C V SEINE-PORT,97,13
FRA,,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,34,17,8,3,23,24,21,2,C V SEINE-PORT,98,14
FRA,,Croce Nicolas,Faucheux Florian,C N CANET PERPIGNAN,14,11,22,17,11,11,12,26,C N CANET PERPIGNAN,98,15
FRA,,Florian Stauffer,Philippe Jacot,CLUB DE VOILE DE NEU,DNF,DNF,11,10,2,10,4,5,,118,16
FRA,,Guillou Nicolas,Ferec Alain,S N P H,8,14,32,40,21,18,11,DNC,S N P H,144,17
FRA,,Christian Silvestre,Auberger Nicolas,Y C ILE DE FRANCE,19,34,12,22,17,19,49,21,YC Grenoble Chara.,144,18
FRA,,Devaux Mathieu,Dubuc Philippe,S R FECAMP,24,22,25,6,22,34,29,18,S R FECAMP,146,19
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,20,27,29,33,16,16,35,6,C V BORDEAUX C M,147,20
GBR,8881,Roger Deane,Dave Turner,ROCK SC GBR,17,41,13,25,15,37,15,25,,147,21
FRA,,Martin Aline,Fabrice Toupet,C V SEINE-PORT,DNF,10,15,11,19,28,51,16,CVSQ,150,22
