Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GER,8651,Christian Kellner,Martin Schöler,HSC,1,1,2,5,7,3,2,,1
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,3,4,5,2,4,13,3,,2
DEN,9023,Tom Bøjland,Anders Friis,Farum,8,6,4,1,5,1,15,,3
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,4,2,6,4,3,11,7,,4
GER,9020,Tim Böger,Lars Dehne,HSC,2,12,3,11,1,26,1,,5
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,19,5,1,3,9,2,16,,6
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,7,3,13,6,8,5,8,,7
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,12,8,8,12,6,9,10,,8
SUI,8543,Cedric Bart,Laurent Grob,CNB,6,DNF,9,13,15,7,11,,9
ITA,8916,Enrico Ciferri,Gabriele Natatli,,15,10,10,23,13,8,14,,10
FRA,8950,Hervé de Kergariou,Xavier Detappe,,DNF,18,7,14,16,14,5,,11
GER,8956,Bernd Rasenack,Axel Priegann,ZSK,10,DNF,11,7,10,34,9,,12
GER,8989,Andreas Jungclaus,Florian Lautenschläger,HSC,13,16,23,16,14,4,24,,13
GER,8988,Oliver Thies,Christoph Engel,,17,7,20,20,11,18,21,,14
FRA,8896,Antoine Lafortune,Geraud Lafortune,CVSP,27,11,15,10,18,20,19,,15
GER,9011,Michael Daisenberger,Andreas Achterberg,DTYC,DNF,DNF,16,8,2,6,6,,16
FRA,8870,Christian Silvestre,Nicolas Auberger,CVB,14,9,25,24,21,15,13,,17
FRA,9066,Robert Ronnback,Koen Jourquin,,9,19,18,17,17,16,23,,18
FRA,8752,Nicolas Martin,Julien Lafortune,,22,15,26,18,20,12,31,,19
FRA,8895,Mathieu Devaux,Philippe Dubuc,,DNF,14,21,22,26,19,20,,20
GER,8672,Karsten Contag,Guido von Walter,SCLW,28,17,23,19,29,21,17,,21
FRA,8716,Aline Martin,Fabrice Toupet,,DNF,DNF,20,15,19,10,4,,22
FRA,8515,Nicolas Croce,Florian Facheux,,DNF,DNF,18,9,12,17,12,,23
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,33,DNF,24,21,28,29,18,,24
FRA,8748,Muriel Jeanne,Frank Agrapart,CNHS,20,DNF,28,31,22,27,25,,25
FRA,8704,Thibault Di Pede,Jordane Lafortune,,31,DNF,31,27,24,23,26,,26
FRA,8899,Alain Karadjan,Julien Letissier,,30,13,32,25,32,31,39,,27
FRA,7929,Jean Philippe Hermieu,Christian Simonnot,St Tropez,18,DNF,29,30,27,30,29,,28
BEL,8486,Pascal Viaud,Cyril Thibaud,,25,DNF,29,30,27,30,29,,29
FRA,8695,Jean-Guy Puissant,Bernard le Guen,ANPESA,24,DNF,27,29,38,22,30,,30
FRA,8729,Alain Tosello,Yves Niddam,,21,DNF,33,32,31,33,32,,31
FRA,8699,Jean Philippe Ducros,Stanislas Rault,,26,20,42,33,35,45,34,,32
FRA,8623,Gerard Daugey,Dominique Rouanne,SVST,DNF,DNF,25,26,30,42,38,,33
FIN,8924,Raimo Raita,Juha Nurmela,V-71,DNF,DNF,30,41,41,32,22,,34
FRA,8943,Michael Delsemme,Roland Delsemme,ST Tropez,34,DNF,34,42,37,44,40,,35
FRA,8711,Jerome Maupay,Francois Caminade,,35,DNF,35,34,45,41,42,,36
SUI,8727,Lorenz Nydegger,Martin Nydegger,SCB,29,DNF,DNF,DNF,25,37,37,,37
ITA,8743,Marco Giraldi,Roberto Loce,UVM,23,DNF,DNF,DNF,33,35,28,,38
ITA,8671,Giacinto Piacquadio,Andrea Messina,,32,DNF,DNF,39,45,28,45,,39
FRA,8002,Jean-Philippe Artielle,Virginie Auger,,DNF,DNF,41,37,42,43,33,,40
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,DNF,DNF,38,38,42,40,41,,41
FRA,8980,Michel Boiry,Jean Philippe Gastaud,CVP,DNF,DNF,37,40,43,46,42,,42
GER,8999,Karsten Stümpel,Eckart König,HSC,DNF,DNF,45,DNF,40,25,DNF,,43
SUI,8077,Catherine Houriet,Gilles Donze,,DNF,DNF,DNF,DNF,29,38,46,,44
GBR,9032,Ian Pinnell,Gilles Carvallo,GWSC,5,DNF,DNF,DNF,DNF,DNF,DNF,,45
FRA,6245,Lawrenc Banahan,Nicolas Clausteres,,2,DNF,40,41,49,49,DNF,,46
FRA,8948,Nicolas Guillou,Alain Ferec,SNP,11,DNF,DNF,DNF,DNF,DNF,DNF,,47
FRA,8509,Ronan Talarmin,Bertrand Lapeyre,,DNF,DNF,DNF,DNF,44,48,37,,48
FRA,9024,Kleber Valery,Claude Gachet,YCG,DNF,DNF,DNF,DNF,47,39,44,,49
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,16,DNF,DNF,DNF,DNF,DNF,DNF,,50
FRA,4664,Denis David,Denis Dubruel,,DNF,DNF,DNF,DNF,48,47,43,,51
ITA,8944,Manzi,Alfredo Annese,,DNF,DNF,DNF,DNF,52,36,DNF,,52
GER,9021,Georg Geyer,Rainer Geyer,,DNF,DNF,DNC,DNC,DNC,DNC,DNC,,53
