Nation,Boat NO,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Crew club,points,place 
FRA,,Philippe Boite,Gallo Pierre Jean,CVSQ,2,2,1,1,S R HAVRE,4,1
FRA,,Broise Xavier,Des Jamonieres Nicolas,S N P H,1,1,2,2,S N P H,4,2
FRA,,Guillou Nicolas,Ferec Alain,S N P H,3,3,3,3,S N P H,9,3
FRA,,De Kergariou Herve,Geron Basile,S N O NANTES,4,4,6,8,S N P H,14,4
FRA,,François de Lisle,Brillaud Herve,C N FERRET,8,5,5,4,C N FERRET,14,5
FRA,,Gubri Serge,Thibault Di Pede,C V SEINE-PORT,5,7,8,5,C V SEINE-PORT,17,6
FRA,,Vibert Marc,Lapeyre Bertrand,CVML,6,8,4,DNF,S N P H,18,7
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,9,6,7,7,WIND 14,20,8
FRA,,Clerc Thomas,Lafortune Jordane,S R ROCHELAISES,12,9,9,6,C V SEINE-PORT,24,9
FRA,,Debry Alain,Maitre Damien,Y.C.DINARD,11,10,10,DNF,,31,10
FRA,,Devaux Mathieu,Got Guillaume,S R FECAMP,7,DNC,DNC,DNC,S N P H,39,11
FRA,,Neidhart Elisabeth,Gougeon Matthieu,CVML,10,DNC,DNC,DNC,CVML,42,12
FRA,,Thomas Chartier,Kopecky Jean-Baptiste,C Y V PARELOUP,15,11,DNC,DNC,,42,13
FRA,,Ducros Jean Philippe,Mouilhade Frederic,CVML,14,12,DNF,DNF,CN PAUL VATINE,42,14
FRA,,Mouclier Emmanuel,Robin Trystan,CVML,13,13,DNC,DNC,A S U PAUL SABATIER,42,15
