Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVSQ/SRH,4,1,1,3,1,4,,,6,1
FRA,9076,Xavier Broise,Nicolas des Jamonières,SNPH/SNPH,2,3,2,2,2,1,,,7,2
FRA,8716,Aline Martin,Fabrice Toupet,CV SEINE PORT/CVSQ,3,2,3,4,5,6,,,12,3
FRA,,Serge Gubri,Thibault Di Pède,CV SEINE PORT/CV SEINE PORT,10,6,4,1,3,5,,,13,4
FRA,8752,Nicolas Martin,Julien Lafortune,CV SEINE PORT/CV SEINE PORT,6,4,5,5,4,2,,,15,5
FRA,,Marc Vibert,Bertrand Lapeyre,CVML/SNPH,1,7,9,7,8,3,,,18,6
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF/YC GRENOBLE CHARA.,5,9,8,6,6,8,,,25,7
FRA,,Hervé Brillaud,Jordane Lafortune,CN FERRET/CV SEINE PORT,9,5,7,8,7,7,,,26,8
FRA,9031,Philippe Lucienne,Vivien Lucienne,C N C ST OUEN/C N C ST OUEN,DNF,11,6,9,10,9,,,34,9
FRA,8699,Jean-Philippe Ducros,Stanislas Rault,CVML/CVSQ,7,13,11,12,12,10,,,40,10
FRA,,Luc Vocanson,Thierry Muniglia,CVML/CVML,11,8,10,11,11,DNF,,,40,11
FRA,8899,Alain Karadjian,Pascal Pellerin,CVSQ/USRO Base Nautique,12,12,13,10,9,11,,,42,12
FRA,,Elisabeth Neidhart,Matthieu Gougeon,CVML/CVML,8,10,12,DNS,13,DNF,,,43,13
FRA,,Jean-Paul Lozouet,Trystan Robin,CV PARIS/A S U PAUL SABATIER,13,DNF,DNF,DNF,DNF,DNF,,,61,14
FRA,,Yves Le Bris,Jean Ramis,CVML/CVML,DNF,DNF,DNF,DNF,DNF,DNF,,,64,DNA
