Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Netto,Place
SWE,7343,Karl-Erik Nilsson,Christian Madsen,,1,2,1,3,1
DEN,8108,Jørgen Holm,Finn Jensen,,2,1,9,18,2
DEN,8030,Bo Petersen,Søren Storm,,6,3,2,"20,4",3
DEN,8031,Lars Christensen,Jan Feddersen,,3,7,11,"35,7",4
DEN,7915,Jakob Thomasen,Jeppe Rasmussen,,11,5,5,37,5
DEN,8144,Lars Bøjvad-Jansen,Martin Olsen,,5,11,7,40,6
DEN,7934,Sten Skorsgaard,Morten Storgaard,,10,6,10,43,7
DEN,7017,Hogens Birkoo,Torben Adahi,,7,20,4,47,8
GER,8109,Bernd Kowalzig,Claus Tiedemann,,15,4,14,49,9
SWE,8116,Björn Fagerström,Thomas Rahm,,4,12,18,50,10
GER,8075,Hauke Rathjens,Frank Uhlemann,,13,14,6,50,11
DEN,8020,Jacob Bojsen-Møller,Poul Strange,,12,15,8,53,12
SWE,7540,Yngve Gustafsson,Mats Gransell,,9,9,19,55,13
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,,8,16,15,57,14
GER,81*,Carsten Hammer,Rolf Meyer,,14,8,21,61,15
GER,7785,Stefan Pavel,Martin Bernauer,,21,10,22,71,16
DEN,7902,Thomas Meisl,Morten E. Nielsen,,22,18,13,71,17
DEN,7851,Lars Wille Jensen,Lau Wogelius,,16,24,17,75,18
GER,7817,Heinz Balters,Boeger,,DNS,19,3,75,19
GER,7927,Brigitte Preuss,Rolf Bertenrath,,17,17,24,76,20
GER,6611,Franco Weichel,Hasso Hoffmeister,,24,28,12,82,21
GER,7524,Morten Peinhold,Johan Mohr,,19,25,23,85,22
GER,8002,Harald Busch,Peter Micke,,DNS,13,16,86,23
GER,8121,Dieter Cordes,Christian Stienen,,20,29,20,87,24
DEN,7020,Willy Sørensen,Lars Hagh,,26,27,25,96,25
DEN,7833,Peter Thagard Ol,Karsten Ahrentse,,18,23,DNS,98,26
GER,8005,Berend Terveer,Ulrich Ellenbeck,,31,21,26,98,27
DEN,7878,Torben Veis,Pater Nissen,,25,31,27,101,28
GER,7855,Jens-Peter Schlomka,Norman Schlomka,,23,22,DNS,102,29
SWE,6995,Jens Hartwig,Rainer Kremkow,,30,30,28,104,30
AUT,8057,Caraten Gerieco,Esser Daigard,,28,26,DNS,111,31
GER,7589,Adalbert Kluck,Gerhard Schmidt,,27,32,DNS,116,32
GER,8129,Farieig friesent,Sens Mershaupt,,29,33,DNF,119,33
DEN,7820,Jan Kjaerback,Claus Thybo,,32,DNF,DNS,123,34
SWE,7591,Peter Stenquist,Johan Stenquist,,DNC,DNC,DNC,135,35
DEN,7718,Jesper Jensen,Jan Lillebaile,,DNC,DNC,DNC,135,36
GER,7781,Andreas Thomsen,Reinhard Schultz,,DNC,DNC,DNC,135,37
GER,8032,Jörn Erdmann,Azei Caesan,,DNS,DNS,DNS,135,38
