Boat Name,Sail Number,Helm,Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Total,Net,Place
USA,8854,Craig Thompson,Adam Wolnikowski,New York Yacht Club,1,1,1,[2],1,1,1,1,Thompson Boat Works,9,7,1
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,2,[3],2,1,2,2,2,3,Lookadatla,17,14,2
USA,8930,Duane Delfosse,Mike Hull,Lake Sunapee Yacht Club,[3],2,3,3,3,3,3,2,TBD,22,19,3
USA,8952,Alec Gerster,Brennan Gerster,Norwalk Yacht Club,[DNC - 6],DNC - 6,DNC - 6,4,4,4,4,DNC - 6,None,40,34,4
USA,6936,William Platt,Bill R Platt,Pettipaug Yacht Club,[DNC - 6],DNC - 6,DNC - 6,DNC - 6,5,5,DNC - 6,DNC - 6,None,46,40,5
