Sail,Number,Helm,Crew,Club/Org,R1,R2,R3,R4,R5,Total,Net,Place
USA,9262,Howard Hamlin,Matt Merchant,ABYC,1,1,1,[2],2,7,5,1
USA,9160,Mike Punnett,Don Smith,ABYC | PCYC,2,4,4,[DNF - 8],1,19,11,2
USA,8714,Jon Bell,Lauren Bell,Santa Barbara Yacht Club,4,3,5,1,[DNF - 8],21,13,3
USA,9142,Douglas Hagan,Shane Illidge,PCYC,3,2,2,[DNS - 8],DNC - 8,23,15,4
USA,8937,Tim Murphy,Gavin Murphy,SCYC,5,5,3,[DNS - 8],DNC - 8,29,21,5
USA,7069,John Silvestro,Tim Steele,CRA,[OCS - 8],6,6,DNS - 8,DNC - 8,36,28,6
USA,7152,Serg Dmitriev,Morgan Wright,Skuttlebutt Sailing Club,[DNS - 8],7,DNC - 8,DNS - 8,DNS - 8,39,31,7
