Sail,Number,Helm, Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Total,Net,Place
USA,9262,Howard Hamlin,Garrett Brown,ABYC-NHYC,1,2,2,2,[4],1,None,12,8,1
USA,909*,AJ Conrads,Jon Bell,Tahoe,[5],1,3,1,2,3,Eileen,15,10,2
USA,9106,Mike Martin,Adam Lowry,NHYC / StFYC,3,7,[10],5,1,2,Mike's Boat,28,18,3
USA,926*,Penny Clark,Russ Clark,Royal Navy Sailing Association,2,6,1,6,6,[DNF - 17],None,38,21,4
USA,9160,Kevin Taugher,Nick Kofski,ABYC,8,5,5,3,7,[9],None,37,28,5
USA,8576,Mike Punnett,Adam Wolnikowski,PCYC / NYYC,9,3,8,[10],5,5,None,40,30,6
USA,916*,JB Turney,Brendan Heussler,CYC,7,[9],9,4,8,4,None,41,32,7
USA,9252,Douglas Hagan,Keahi Ho,PCYC,11,[13],6,7,3,6,Panic,46,33,8
USA,9082,Jeff Miller,Don Smith,Santa Cruz YC,4,4,7,11,[12],8,Miracle,46,34,9
USA,9165,Pete Spaulding,Ted Conrads,Tahoe,6,8,4,8,[13],11,None,50,37,10
USA,9091,Andrea Ciccardi,Luke Draper,ACSC,[12],12,11,9,11,7,None,62,50,11
USA,8937,Tim Murphy,Mike Bishop,SCYC,[13],10,12,13,10,10,None,68,55,12
USA,9027,Pierre Jeangirard,Paul Vongrey,PCYC,10,11,[DSQ - 17],12,9,DNF - 17,Dance monkey,76,59,13
USA,7069,Tim Steele,Matt Nelson,CRA,14,14,13,14,[DNF - 17],12,None,84,67,14
USA,8908,Antoine Laussu,Ian O'Leary,PSSA,[DNC - 17],DNC - 17,DNC - 17,15,14,DNS - 17,None,97,80,15
USA,9083,Rob Waterman,Jackson McCoy,ABYC,[DNC - 17],DNC - 17,DNC - 17,DNC - 17,DNC - 17,DNC - 17,Cosmic Thing,102,85,16
