Country,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat,Total,Pos
USA,8643,Barney Harris,,WRSC & PRSA,1,1,3,4,1,The New Green Scam,10T,1
USA,8814,Kelsey Averill,,wrsc,2,2,1,2,3,,10T,2
USA,9095,Macy Nelson,,West River,3,4,4,1,2,Highway 95 Revisited,14,3
USA,8883,Michael Renda,,West River Sailing Club,5,3,2,3,4,Jane's Addiction,17,4
USA,9173,Sydney Spruill,Sterling Spruill,Hampton YC,4,5,5,7/DNS,7/DNS,team trouble,28,5
USA,8822,Sean Harr,Russell Miller,West River Sailing Club,7/DNS,7/DNS,7/DNS,7/DNS,7/DNS,Wicked Pissa,35,6
