Country,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Position
IRL,8987,Peter Scannell,John Dunlea,,1,[4],4,1,1,1,4,4,20,16T,1
USA,8856,Ethan Bixby,Ted Huebner,,4,2,1,4,[5],3,1,1,21,16T,2
USA,8854,Craig Thompson,Adam Wolnikowski,,2,1,5,3,[8 RET],2,2,6,29,21,3
USA,8930,Duane Delfosse,Mike Hull,,3,3,[6],2,4,4,5,3,30,24,4
USA,8913,Vir Menon,Brian Fox,,5,[6],2,5,2,5,6,2,33,27,5
USA,9186,Ted Bjerregaard,Ian Mathiesen,,6,5,3,6,3,[7],3,5,38,31,6
USA,9005,Thomas Kivney,Gordon Russell,,[7],7,7,7,6,6,7,7,54,47,7
