Country,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total,Pos
USA,8856,Ethan Bixby,Ted Huebner,SPSC,[1],1,1,1,1,1,Science Project,5,1
USA,8808,Augie Diaz,Bobby Starck,Biscayne Bay Yacht Club,[5],4,5,2,2,2,Danilu,15,2
USA,8643,Barney Harris,,WRSC & PRSA,3,[6],3,6,4,4,The Green New Scam,20,3
USA,9095,Macy Nelson,Steen Byskov,West River,4,[10],4,4,5,9,Highway 95 Revisited,26,4
CAN,9042,Paul Clifford,Bruce Clifford,None,2,[9],6,5,7,7,Rocinante,27,5
USA,8814,Ian Mathiesen,,WRSC,[14/RET],8,7,7,6,3,War Pig,31,6
USA,7346,William Hundahl,Liam Harr,Eastern Yacht Club,6,5,8,8,[9],6,,33,7
USA,9003,Atlee Kohl,Jonathan Gleason,UM,[14/DNS],2,2,3,14/DNS,14/DNS,,35,8
CAN,8841,Alexander Meller,Devlin Lovshin,Kingston Yacht Club,[14/RET],7,14/DNS,14/DNS,3,5,Swagman,43,9
USA,8830,Nathaniel Plant,Eric Mann,spsc,[14/RET],3,11,11,14/DNS,8,orange 505,47,10
USA,90951*,Kj Wolaver,Preston Senior,WRSA,[14/RET],11,10,9,10,12,,52,11
CAN,9138,Marek Balinski,,OHCC,[14/RET],12,9,10,14/DNS,11,,56,12
USA,8822,Sean Harr,Russell Miller,West River SC,[14/RET],13,14/DNS,14/DNS,8,10,,59,13
