Sail,Number,Helm,Crew,Club/Org,R1,R2,R3,R4,R5,Boat Name,Net,Total,Place
USA,9262,Howard Hamlin,Jon Bell,NHYC ABYC,1,2,2,1,2,None,8,8,1
USA,9106,Mike Martin,Adam Lowry,StFYC,3,1,1,3,1,Mike's Boat,9,9,2
USA,8576,Mike Punnett,Paul Von Grey,PCYC,2,4,3,2,3,Snow Blind,14,14,3
USA,8411,Nathan de Vries,Jack Groves,Encinal Yacht Club,4,TLE 5,6,4,4,Boogie,23,23,4
USA,8680,Ryan Nelson,Mike Bishop,ACSC/EYC,8,TLE 5,4,7,5,Rogue Rigging,29,29,5
USA,9004,Christian Manchester,Bjorn Antell,StFYC,7,OCS 10,5,5,6,None,33,33,6
USA,9248,Nic Baird,,STFYC,5,3,DNC 10,DNC 10,DNS 10,None,38,38,7
USA,7875,Ian O'Leary,,Pcyc,6,TLE 5,DNC 10,DNC 10,DNS 10,O’Leary Construction,41,41,8
USA,9153,Andrea Ciccardi,Joby Overton,ACSC,9,DNF 10,DNS 10,6,DNS 10,None,45,45,9
