Country,Sail  ,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Boat  ,Total,Pos
USA,8930,Duane Delfosse   ,,Lake Sunapee Yacht Club  ,1,1,1,TBD  ,3,1
USA,8643,Barney Harris   ,,PRSA& WRSC  ,2,2,3,The Green New Scam  ,7,2
USA,9173,Sydney Spruill,Sterling Spruill  ,Hampton YC  ,5,3,2,team trouble  ,10,3
USA,95*,Steen Byskov,Steen Byskov  ,West River Sailing Association  ,4,4,4,  ,12,4
USA,8822,Dave Burchfiel   ,,WRSC  ,3,5,5,Wicked Pissa  ,13,5
USA,7199,Eric Bonifacic   ,,JKP  ,6,6,6,Full Moon  ,18,6
USA,9095,Macy Nelson   ,,West River  ,8/DNS  ,8/DNS  ,8/DNS  ,Highway 95 Revisited  ,24,7
