Sail,Number,Helm,Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Total,Net,Position
USA,9106,Mike Martin,Adam Lowry,StFYC,1,1,[4],1,1,Mike's Boat,8,4,1
USA,9248,Eric Anderson,Nic Baird,St.FYC,3,[4],1,2,4,N = 2,14,10,2
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC,2,3,[5],3,2,None,15,10,3
USA,9240,AJ Conrads,Jon Bell,Tahoe,4,2,2,[5],3,Eileen,16,11,4
USA,8576,Blaine Pedlow,Mike Punnett,StFYC / Penn Cove YC,5,[6],3,4,5,None,23,17,5
USA,9165,Pete Spaulding,Ted Conrads,PSC,[DNF - 14],8,6,6,6,None,40,26,6
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,[DNF - 14],5,10,9,DNF - 14,Rocket Surgery,52,38,7
USA,7875,Ian O'Leary,Luck Na,Acsc,[DNF - 14],9,8,7,DNF - 14,O’Leary construction,52,38,8
USA,8680,Ryan Nelson,Mike Bishop,ACSC/EYC,[DNC - 14],7,9,8,DNF - 14,Rogue Rigging ,52,38,9
USA,8411,Nathan de Vries,,ACSC/EYC,[DNF - 14],10,12,10,7,Boogie,53,39,10
USA,8084,Andrea Ciccardi,Patryk Aniolowski,ACSC,[DNF - 14],12,11,11,8,None,56,42,11
USA,8937,Tim Murphy,Pat Diola,SCYC,[DNF - 14],11,7,DNF - 14,DNS - 14,None,60,46,12
USA,9004,Christian Manchester,,StFYC,[DNC - 14],DNC - 14,DNC - 14,DNC - 14,DNC - 14,The Green Boat,70,56,13
