Country,sailNumber,skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,name,Points,Place
USA,8814,Ian Mathiesen,Trevor Davis,,1,[6],1,1,1,2,1,War Pig,7,1
USA,8851,Ted Huebner,Ben Greenfield,,[7],2,4,2,3,1,2,8851,14,2
CAN,8821,Christian Voyer,Luke Strickland,,[5],3,5,4,2,3,3,Mach 5,20,3
USA,8854,Craig Thompson,Adam Wolnikowski,,2,1,2,6,6,[8],4,Thompson Boat Works,21,4
USA,8930,Duane Delfosse,Mike Hull,,3,5,3,3,5,4,[8],TBD,23,5
USA,9186,Ted Bjeregaard,,,4,4,[7],7,8,5,6,tbd,33,6
USA,8*,Solomon Marini,,,[8],8,6,5,7,6,5,Marini,37,7
USA,9005,Thomas Kivney,,,6,7,[8],8,4,7,7,Katiebear,39,8
USA,8822,Russell Miller,,,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,Wicked Pissa,66,
USA,6936,William Platt,,,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,11/DNC,A 505,66,
