Sail,Number,Helm,Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Total,Net,Position
USA,9106,Mike Martin,Adam Lowry,StFYC,2,1,2,2,[3],1,Mike's Boat,11,8,1
USA,909,AJ Conrads,Jon Bell,Tahoe/Santa Barbara YC,1,4,1,1,4,[5],Eileen,16,11,2
USA,9262,Matt Merchant,Jack Jorgensen,SCYC/ABYC,[7],2,3,4,1,4,Grey Boat,21,14,3
CAN,9216,Nick Adamson,Stephen Bourdow,SCYC / NOYC,5,9,6,[DNF - 12],2,2,None,36,24,4
USA,9208,Lee Laney,Blaine Pedlow,Penn Cove YC,6,7,[9],3,5,3,Pink Pony Club,33,24,5
USA,8937,Tim Murphy,Aaron Ziegler,SCYC,4,3,4,[7],7,7,Laminar Blue,32,25,6
USA,7875,Beckett Shinn,Ian O’Leary,StFYC,3,5,7,8,[10],10,O’Leary construction ,43,33,7
USA,9091,Andrea Ciccardi,Luke Draper,ACSC,[DNS - 12],8,8,5,6,6,None,45,33,8
USA,9004,Christian Manchester,Nathan de Vries,StFYC,[DNS - 12],6,5,6,8,9,None,46,34,9
USA,8680,Ryan Nelson,Mike Bishop,EYC/ACSC,8,[10],10,9,9,8,Rogue Rigging,54,44,10
USA,,Sawyer Bastian,Scott Bastian,St. Francis Yacht Club,[DNC - 12],DNC - 12,DNC - 12,DNC - 12,DNC - 12,DNC - 12,Powered by pizza and poor decisions,72,60,11
