Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,1,1,1,1,-2,1,7,5,1
FIN,8927,Kaj Lindfors,Jonas Krogell,ASS,-3,2,2,2,1,2,12,9,2
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,2,3,(11.0)DNC,3,4,5,28,17,3
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,6,5,4,-7,3,3,28,21,4
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,4,4,3,4,(11.0)DNC,7,33,22,5
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,-8,7,6,5,5,4,35,27,6
FIN,9212,Thomas Held,Juha Nurmela,BSS,-7,6,5,6,6,6,36,29,7
FIN,8127,Mikko Laine,Ilkka Tuomi,TPS,9,9,7,8,7,(11.0)DNC,51,40,8
FIN,7922,Olle Martonen,Mikael Nylund,WSF,5,8,(11.0)DNC,11.0DNC,11.0DNC,11.0DNC,57,46,9
AUT,8663,Taru Karttunen,Noora Pyörre,HSS,10,10,8,(11.0)DNC,8,11.0DNC,58,47,10
