Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Total,Netto,Place
DEN,9118,Jan Saugmann,Jakob Karbo,HS,1,1 RDG,1,1,1,1,-5,1,(23 DNS),WTF,35,7,1st
FIN,8768,Jukka Nieminen,Antti Salonen,SP/HYP,3,-7,3,2,-9,6,4,2,1,Giiamari,37,21,2nd
GER,8875,Ian Pinnel,Johannes Tellen,HIS,4,2,6,8,6,2,1,(23 DNS),(23 DNS),P&B,75,29,3rd
SWE,8926,Ebbe Rosén,Angela Stenger,,2,3,2,6,8,3,6,(23 DNS),(23 DNS),,76,30,4th
FIN,8873,Sampsa Hyysalo,Lauri Kääpä,HSK,-7,5,4,4,7,4,-8,3,3,Carbon Footprint,45,30,5th
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,-11,6,7,3,5,-9,2,5,5,,53,33,6th
FIN,9069,Jari Hamström,Henri Räty,KuoPS/N,-10,4,-13,9,2,5,7,7,2,,59,36,7th
FIN,8812,Matti Pentti,Otto Toivanen,HSK,5,9,-11,7,3,7,-10,4,4,,60,39,8th
FIN,8678,Jens Olbrysch,Jukka Saarikorpi,HSC,-12,10,5,5,4,8,-12,6,6,,68,44,9th
FIN,8127,Raimo Raita,Juha Nurmela,Vene-71,6,8,8,-10,-15,10,3,8,7,,75,50,10th
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK/KoPu,8,11,-12,11,10,11,-16,9,8,,96,68,11th
FIN,8466,Hannu Pöyry,Juha Pietilä,VVK,9,12,9,12,11,12,-13,-13,9,,100,74,12th
FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,(23 DNS),(23 DNS),10,14,14,14,11,12,15,Lennart,136,90,13th
FIN,8224,Tatu Miettinen,Ville Tarvo,LPS,15,15,-18,-16,13,16,14,10,10,,127,93,14th
FIN,7922,Olle Martonen,Mikael Nylund,WSF,14,14,-17,-17,17,13,15,11,11,Stig-Helmer,129,95,15th
FIN,8746,Jesper Broo,Jukka Saren,ASS/LP,16,13,15,-19,-18,17,9,14,13,,134,97,16th
FIN,7784,Thomas Held,Jussi Kuosa,BSS/HSK,(23 DNS),(23 DNS),14,15,12,18,18,15,12,Piironki,150,104,17th
FIN,7824,Erkka Ikonen,Jukka Suonpää,TaPs,13,16,16,13,16,15,(23 DNS),(23 DNS),23 DNS,Meteopaatti,158,112,18th
FIN,76*,Kari Lehtonen,Timo Vennonen,HSK,(23 DNS),17,-19,18,19,19,17,16,14,Brunette too,162,120,19th
FIN,8430,Jouni Valli,Iiro Jaakonsaari,N,(23 DNS),(23 DNC),23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,,207,161,20th
FIN,8907,Hanno Narjus,Mikael Maksimow,TPS,(23 DNS),(23 DNS),23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,23 DNS,PikkuProssu,207,161,20th
FIN,8582,Sampsa Hämäläinen,Tiina Prest,HSK,(23 DNC),(23 DNC),23 DNC,23 DNC,23 DNC,23 DNC,23 DNC,23 DNF,23 DNS,,207,161,20th
