Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Place
CAN,8264,Jeff Boyd,Adam Schell,,1,1,1,,,1,1,1,,,15,1
CAN,8442,Morrin,Hoffman,,,,,1,,,,,1,,25.5,2
CAN,8260,Shona Moss Lovshin,Lovshin,,,,,,1,,,,,1,30.5,3
CAN,7150,Rzucidlo,Torrie,,,,,,,,,,,,37,4
CAN,8233,Bertrand,Molimard,,,,,,,,,,,,43,5
CAN,8698,Fowler,Steve Yates,,,,,,,,,,,,45,6
CAN,7796,Adams,Ashby,,,,,,,,,,,,50,7
CAN,6910,John Bryant,Penney,,,,,,,,,,,,60,8
CAN,111*,Braden,Moorman,,,,,,,,,,,,84,9
CAN,8417,David Friberg,,,,,,,,,,,,,90,10
CAN,7797,Jim Dingle,,,,,,,,,,,,,106,11
