Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,,Race Points 1,Race Points 2,Race Points 3,Race Points 4,Race Points 5,Boat Name,Points Total,Points Netto,Place
SWE,7655,Krister Bergström,Per-Anders Hallberg,,4,2,1,1,DNF,,8,3,0,0,77,,,11,1
DEN,8030,Bo Petersen,Søren Storm,,6,1,3,35,1,,"11,7",0,"5,7",41,0,,,"17,4",2
DEN,8031,Lars Christensen,Jan Feddersen,,1,3,10,7,27,,0,"5,7",16,13,33,,,"34,7",3
GER,8032,Jörn Erdmann,Sven Harder,,5,11,2,5,6,,10,17,3,10,"11,7",,,"30,7",4
SWE,7343,Calle,Bengt Zachrisson,,2,18,4,2,DNF,,3,24,8,3,77,,,38,5
DEN,8082,Jakob Thomasen,Zeppe,,17,4,13,4,3,,23,8,19,8,"5,7",,,"40,7",6
DEN,8108,Jørgen Holm-Nielsen,Finn Jensen,,7,8,9,8,1,,13,14,15,14,1,,,44,7
FRA,7191,Schreiber,Bottlaender,,8,9,15,10,11,,14,15,21,16,17,,,61,8
FIN,7948,Hannu Merikallio,Tom Lindström,,22,6,12,6,26,,28,"11,7",18,"11,7",32,,,"69,4",9
GER,8155,Carsten Hammer,Rolf Meyer,,11,26,5,11,21,,17,32,10,17,27,,,71,10
SWE,8118,Björn Fagerström,Johan Wadmark,,13,30,6,53,4,,19,36,"11,7",59,8,,,"74,7",11
GBR,8159,Clive Robinson,Mathew Flint,,46,7,8,24,12,,52,13,14,30,18,,,75,12
GBR,8051,David Peacock,Steve Peters,,3,14,30,38,9,,"5,7",20,36,44,15,,,"75,7",13
SUI,7827,Roger Oswald,Christian Wiskemann,,12,9,34,3,32,,18,15,40,"5,7",38,,,"70,7",14
SWE,8033,Petersson,Petersson,,10,15,32,22,7,,16,21,38,28,13,,,78,15
SUI,7921,Josef Zuppiger,Muller,,45,23,20,9,8,,51,29,26,15,14,,,84,16
FRA,8008,Jean Marc Paquotte,Serge Ehrhart,,35,5,14,13,46,,41,10,20,19,52,,,90,17
FIN,8054,Matti Pentti,Otto Toivanen,,24,17,7,20,28,,30,23,13,26,34,,,92,18
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,,15,20,44,26,15,,21,26,50,32,21,,,100,19
DEN,8144,Lars Bøjvad-Jansen,Martin Olsen,,25,12,47,27,13,,31,18,53,33,19,,,101,20
SUI,7417,A. Ravonel,Barraud,,29,19,11,23,42,,35,25,17,29,48,,,106,21
SUI,8102,Stephan Rüeger,Real,,14,15,29,19,36,,20,21,35,25,42,,,107,22
SUI,8003,Werner Müller,SchIess,,9,22,26,28,DNF,,15,28,32,34,77,,,109,23
GBR,8139,David Booth,Peter Milburn,,33,13,25,12,29,,39,19,31,18,35,,,109,24
FIN,8053,Petri Ebeling,Esko Aho,,26,29,18,35,14,,32,35,24,41,20,,,111,25
FRA,8104,Marcel Buffet,Marc Bourdon,,20,28,40,34,5,,26,34,46,40,10,,,116,26
GER,8163,Stefan Pavel,Marin Bernauer,,43,36,25,15,18,,49,42,31,21,24,,,118,27
FIN,7885,Jari Mäkelä,Tero Lahti,,36,DNF,21,18,20,,42,77,27,24,26,,,119,28
FRA,7847,Francis Doerenbecher,Gérard Guthman,,41,25,23,DNF,10,,47,31,29,77,16,,,123,29
FIN,7992,Ton Nyman,Bjorn Pundars,,27,40,16,DNF,17,,33,46,22,77,23,,,124,30
GBR,8134,Steve Arkley,Dick Vivers,,21,24,28,29,DNF,,27,30,34,35,77,,,126,31
SUI,7960,Markus Bohren,Beat Waser,,DNF,27,36,17,24,,77,33,42,23,30,,,128,32
FRA,7147,Lelevre,Lelevre,,18,31,27,42,34,,24,37,33,48,40,,,134,33
SUI,8101,Urs Scherrer,Scherrer,,40,16,48,30,25,,46,22,54,36,31,,,135,34
SUI,8105,B. Oldani,Fischlin,,34,39,34,14,37,,40,45,40,20,43,,,143,35
GER,8150,Brigitte Preuss,Rolf Bertenrath,,16,33,39,24,47,,22,39,45,30,53,,,145,36
GBR,8001,Martin Spence,Jonathan Ward,,19,DNF,DNF,15,21,,25,77,77,21,27,,,146,37
FIN,7909,Kimmo Lautanen,Jarkko Niemi,,38,51,33,32,23,,44,57,39,38,29,,,150,38
SUI,8106,Urs Marti,Martin Bäbler,,30,49,17,34,DNF,,36,55,23,40,77,,,154,39
SUI,8079,Philippe Grünig,Keppeler,,32,54,19,46,38,,38,60,25,52,44,,,159,40
SUI,8096,Alain Brasey,Christian Maegele,,42,43,24,31,DNF,,48,49,30,37,77,,,164,41
GER,7970,Kai Löblein,Thomas Rupp,,52,45,35,25,40,,58,51,41,31,46,,,169,42
GBR,8131,Robin Whittle,Timothy Whittle,,48,32,43,40,30,,54,38,49,46,36,,,169,43
GER,8118,Stefan Schollmayer,Martin Eckel,,39,35,38,51,33,,45,41,44,57,39,,,169,44
GER,7855,Jens-Peter Schlomka,Norman Schlomka,,28,48,58,21,51,,34,54,64,27,57,,,172,45
SUI,7899,K. Oldani,Blum,,50,37,46,DNF,19,,56,43,52,77,25,,,176,46
GER,7957,Ralf-Joachim Stoll,Stuckl,,54,34,37,44,44,,60,40,43,50,50,,,183,47
SUI,7964,Heiner Kyburz,Herbert Hermann,,58,52,22,47,39,,64,58,28,53,45,,,184,48
GER,7219,J. Kinsel,Geisler,,44,41,56,DNF,22,,50,47,62,77,28,,,187,49
SUI,8113,Best Wernli,Moor,,60,44,41,37,43,,66,50,47,43,49,,,189,50
GER,7451,Ewald Brzoska,Hanno Barth,,23,38,63,55,50,,29,44,69,61,56,,,192,51
SUI,8151,Bonjour,Burdet,,47,65,54,41,31,,53,71,60,47,37,,,197,52
FRA,7734,Francis Macheboeuf,Pionodel,,49,47,64,48,35,,55,53,70,54,41,,,203,53
SUI,7994,Stephan Räbsamen,Meret Boog,,37,59,60,55,45,,43,65,66,61,51,,,220,54
FRA,8026,Marnez,Eyssartier,,61,DNF,49,39,48,,67,77,55,45,54,,,221,55
DEN,7882,Thomas D. Albrechtsen,Morten Jakobsen,,62,62,51,45,41,,68,68,57,51,47,,,223,56
SUI,9,Wahl,Jundt,,31,DNF,44,50,DNF,,37,77,50,56,77,,,228,57
FRA,7492,Robert Fossard,Bernard Peuch,,53,42,59,52,59,,59,48,65,58,65,,,230,58
FRA,7933,Lortat-Jacob,Cavalier,,59,50,53,56,49,,65,56,59,62,55,,,232,59
DEN,7524,Morten Reinhold,Johan Mohr,,51,56,57,49,53,,57,62,63,55,59,,,233,60
GER,7760,Hans-Albert Noeldeke,Oliver Engelhardt,,64,51,44,61,55,,70,57,50,67,61,,,241,61
DEN,8114,Gerd Engel,A. Strowitzki,,55,53,45,DNF,DNF,,61,59,51,77,77,,,248,62
GER,8098,Franscisco Sanguino-Petersen,Robert Wisolek,,69,61,65,54,55,,75,67,71,60,61,,,259,63
GER,7854,Klaus Eifler,Christian Voggeser,,63,64,62,58,52,,69,70,68,64,58,,,259,64
GER,7649,Matthias Kuchinke,Axel Seemann,,66,58,67,60,54,,72,64,73,66,60,,,262,65
GER,7765,Wolfgang Seifert,Manuela Seifert,,57,66,66,62,56,,63,72,72,68,62,,,265,66
GBR,7506,D. Jones,label,,65,60,68,59,58,,71,66,74,65,64,,,266,67
GER,7292,Guenter Kerkloh,Wilde Roland,,67,57,55,DNF,DNF,,73,63,61,77,77,,,274,68
FRA,8124,Grosheny,Rochel,,68,55,61,DNF,DNF,,74,61,67,77,77,,,279,69
SUI,7522,Spiess,Spiess,,56,63,69,DNF,DNF,,62,69,75,77,77,,,283,70
